WHETSTONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ264939,Long,-0.17519948,Lat,51.629723,Elevation,315,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,1.05,1.06,2.56,2.11,0.76,1.7,2.83,2.39,0.77,2.15,0.92,2.49,2.4,,,,,,,,,
February,,,,,,,,,1.23,2.42,0.83,0,1.47,2.89,1.77,0.08,0.41,2.72,1.09,1.84,3.9,,,,,,,,,
March,,,,,,,,,3.86,1.67,2.24,1.86,1.03,0.33,1.13,1.49,3.14,3.6,1.25,0.56,0.71,,,,,,,,,
April,,,,,,,,,2.34,2.17,1.51,1.03,0.94,0.25,1.94,1.27,0.55,1.82,1.42,2.66,0.74,,,,,,,,,
May,,,,,,,,,1.21,3.75,1.47,3.39,1.53,0.73,2.16,0.41,0.27,1.38,2.87,1.39,0.88,,,,,,,,,
June,,,,,,,,,2.54,1.89,3.04,0.83,3.11,0.78,2.02,0.36,2.14,3.05,1.28,2.01,2.73,,,,,,,,,
July,,,,,,,,,4.16,2.93,5.46,2.83,2.06,2.64,2.99,3.98,1.11,3.13,0.64,1.59,1.04,,,,,,,,,
August,,,,,,,,,3.56,3.03,1.84,4.54,2.92,1.64,2.77,3.31,1.95,2.59,1.21,1.12,2.39,,,,,,,,,
September,,,,,,,,,0.91,1.67,0.98,1.74,3.02,1.18,1.15,0.89,6.45,2.4,0.32,2.75,0.74,,,,,,,,,
October,,,,,,,,,1.54,3.84,1.28,4.85,3.65,3.73,3.89,2.95,2.99,0.64,3.49,2.07,1.87,,,,,,,,,
November,,,,,,,,,4.7,1.06,2.2,2,2.2,2.84,3.19,4.06,1.2,1.02,1.72,3.98,2.44,,,,,,,,,
December,,,,,,,,,1.12,1.27,0.72,3.38,1.39,2.55,2.39,2.09,3.42,2.26,2.27,1.33,1.65,,,,,,,,,
Total,,,,,,,,,28.22,26.76,24.13,28.56,24.08,21.26,28.23,23.28,24.4,26.76,18.48,23.79,21.49,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Whetstone at the correct altitude.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The named observer is Baldwin Latham, a Civil Engineer, involved with sewage works but there is no obvious location for the gauge. NGR could be +/- 1km or more.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
