BARNES-CASTELNAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ224770,Long,-0.2388366,Lat,51.478725,Elevation,25,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR8237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,1.92,0.85,1.76,1.45,3.85,2.87,0.68,4.45,1.5,1.95,2.64,3.62,,2.18,,,,,,,,,
February,,,,,,,,1.25,1.42,0.47,3.07,1.56,1.78,1,2.74,3.81,3.9,1.06,1.02,2.62,,0.2,,,,,,,,,
March,,,,,,,,0.98,2.39,3.66,1.2,1.73,2.79,2.51,4.57,0.91,4.52,1.8,1.06,3.86,,1.33,,,,,,,,,
April,,,,,,,,3.46,2.61,1.76,1.41,1.81,0.19,2.99,0.88,1.36,1.31,2.12,3.26,2.82,2.9,1.16,,,,,,,,,
May,,,,,,,,1.39,1.47,1.77,2,2.35,1.26,1.88,2.03,2.98,1.99,1.8,1.89,0.19,3.4,1.13,,,,,,,,,
June,,,,,,,,3.49,2.17,4.34,2.56,2.31,3.36,0.3,1.44,0.8,2.41,6.06,1.17,1.58,2.29,0.27,,,,,,,,,
July,,,,,,,,1.29,2.84,3.02,2.77,0.91,1.31,1.62,0.98,3.93,1.26,4.28,5.56,2.45,4.23,,,,,,,,,,
August,,,,,,,,1.75,3.05,1.66,3.03,0.93,5.48,1.25,1.62,3.18,5.05,3.92,1.3,2.23,1.63,,,,,,,,,,
September,,,,,,,,0.62,1.62,2.62,0.53,1.56,1.31,2.14,0.97,1.96,1.53,2.17,6.27,1.42,2.9,,,,,,,,,,
October,,,,,,,,3.35,2,4.15,1.9,3.29,3.37,3.72,1.24,1.48,3.45,3.48,1.17,,1.23,,,,,,,,,,
November,,,,,,,,2.16,0.76,0.88,3.14,3.66,1.73,2.59,2.91,2.56,4.59,1.42,2.49,,1.27,,,,,,,,,,
December,,,,,,,,3.42,2.12,2.71,4.14,4.91,3,1.16,7.34,6.14,2.39,1.37,2.73,,2.22,,,,,,,,,,
Total,,,,,,,,,24.37,27.89,27.51,26.47,29.43,24.03,27.4,33.56,33.9,31.43,30.56,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is 55 Castelnau, Barnes, where the observer C F B Marshall lived. Altitudes on early records match.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
