BLACKPOOL (GRANGE PARK ESTATE),,,,,,,,,,
Grid ref,SD330375,Long,-3.019439,Lat,53.829424,Elevation,50,ft,,
Station no,3054/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.89,1.59,,1.64,4.32,3,4.78,3.64,
February,,1.01,0.86,,1.92,1.38,3.03,3.28,0.38,
March,,1.69,0.25,,1.5,0.95,1.93,1.06,1.17,
April,,2.85,2.2,,1.61,1.49,0.57,2.27,3.38,
May,,2.62,1.85,,2.51,1.11,4.02,3.41,1.45,
June,,3.25,,,3.6,1.7,0.52,2.86,2.22,
July,,1.53,,,2.15,2.95,4.56,3.65,5.07,
August,,3.95,,,0.97,7.71,4.32,5.38,0.38,
September,,,4.28,,2.98,3.55,4.28,3.23,0.26,
October,,,1.81,,2.7,2.04,3.99,3.59,2.2,
November,8.24,,4.02,,1.75,1.23,2.58,2.18,5.26,
December,6.8,,1.77,,3.63,3.43,2.4,2.83,6.17,
Total,,,,,26.96,31.86,35.2,38.52,31.58,
,,,,,,,,,,
"1953 June, July, Aug and total estimated",,,,,,,,,,
