"GELDESTON [BECCLES]",,,,,,,,,,,,
Grid ref,TM389912,Long,1.515645,Lat,52.466431,,,,,,,
Station no,RR1562,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.63,0.49,0.94,1.49,1.93,0.85,3.59,1.52,0.51,0.68,,
February,2.76,1.60,0.62,0.13,2.44,1.06,1.98,1.04,1.67,0.92,,
March,0.90,1.86,1.08,1.73,1.38,1.35,1.92,1.14,2.20,2.60,,
April,1.11,2.02,1.32,2.13,0.70,1.70,0.76,2.53,2.31,1.09,,
May,1.55,0.87,3.31,2.11,1.68,1.05,2.55,2.55,1.18,0.82,,
June,2.68,1.87,1.68,2.41,0.52,3.20,1.77,2.00,0.40,2.55,,
July,1.75,0.91,1.88,3.21,2.41,0.37,0.38,0.95,2.02,2.44,,
August,3.72,0.90,3.38,4.08,2.48,2.66,1.18,1.17,2.23,1.83,,
September,1.00,1.04,1.17,2.52,1.35,1.76,1.28,0.28,1.12,2.06,,
October,1.88,1.99,1.35,3.82,0.91,3.37,3.09,3.31,2.09,4.01,,
November,1.60,1.81,1.30,1.50,1.82,1.86,3.83,2.25,1.41,1.08,,
December,2.50,4.20,1.16,1.07,2.07,1.18,2.53,2.44,1.24,4.40,,
Total,24.08,19.56,19.19,26.20,19.69,20.41,24.86,21.18,18.38,24.48,,
Calc annual,24.08,19.56,19.19,26.20,19.69,20.41,24.86,21.18,18.38,24.48,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
