GELDESTON The Old House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM388918,Long,1.5146049,Lat,52.471859,Elevation,38,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,0.16,1.15,1.42,1.81,1.5,1.9,2.15,1.82,1.36,0.89,2.03,1.83,0.9,2.15,1.27,2.35,1,2.17,0.82,2.13,2.63,0.49,0.94,1.49,1.93,0.85,3.59,1.52,0.51,0.68,1.85,1.71,2.06,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,1.72,2.79,1.66,2.34,0.69,2.06,0.39,0.55,1.47,1.33,0.75,0.11,1.45,2.42,1.21,0.66,0.38,1.93,1,0.97,2.76,1.6,0.62,0.13,2.44,1.06,1.98,1.04,1.67,0.92,1.9,1.18,0.93,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,0.81,1.58,1.37,1.65,1.25,0.85,1.29,1.64,2.6,0.9,2.41,1.51,1.79,0.26,0.59,1.73,3,2.14,1.97,1.48,0.9,1.86,1.08,1.73,1.38,1.35,1.92,1.14,2.2,2.6,0.92,2.14,2.66,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,1.59,1.08,2.75,1.34,1.45,1.4,1.41,0.96,1.21,2.3,1.15,0.87,2.33,0.03,2.67,0.74,0.94,1.55,1.08,2.73,1.11,2.02,1.32,2.13,0.7,1.7,0.76,2.53,2.31,1.09,1.58,0.73,0.3,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,0.67,0.93,1.46,1.46,1.31,2.87,1.78,1.67,0.8,2.66,1.44,2.43,1.53,1.28,2.83,0.67,0.4,0.74,3.11,2.13,1.55,0.87,3.31,2.11,1.68,1.05,2.55,2.55,1.18,0.82,3.68,0.63,0.49,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,2.43,1.68,2.73,2.7,0.8,0.67,0.48,0.04,0.85,1.61,2.33,1.13,2.74,1,2.44,0.7,1.64,1.73,2.84,0.85,2.68,1.87,1.68,2.41,0.52,3.2,1.77,2,0.4,2.55,2.95,2.11,2.56,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,4.33,0.95,2.45,2.34,1.72,0.66,3.28,1.84,5.67,2.18,3.34,2.93,1.98,1.66,3.41,3.6,0.89,0.39,1.44,2.71,1.75,0.91,1.88,3.21,2.41,0.37,0.38,0.95,2.02,2.44,3.8,0.44,3.1,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,1.79,3.95,1.49,0.57,1.01,1.28,1.56,1.32,1.89,2.64,2.19,4,3.75,1,1.86,3.05,1.49,1.41,1.26,0.74,3.72,0.9,3.38,4.08,2.48,2.66,1.18,1.17,2.23,1.83,2,0.34,7.5,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,2.75,2.5,2.6,2.13,3.98,5.15,2.18,1.86,1.11,3.53,0.85,0.98,2.1,0.62,1.73,0.46,3.71,3.06,0.26,3.04,1,1.04,1.17,2.52,1.35,1.76,1.28,0.28,1.12,2.06,1.93,2,2.65,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,3.79,3.3,5.61,2.46,3.65,5.57,2.5,2.84,1.35,3.78,1.74,3.88,7.32,1.64,2.26,3.72,2.82,0.73,2.41,1.83,1.88,1.99,1.35,3.82,0.91,3.37,3.09,3.31,2.09,4.01,0.89,2.04,1.47,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,2.07,1.45,3.14,3.68,1.82,2.42,2.9,2.2,3.23,1.28,3.92,1.87,1.59,3.51,2.08,2.24,1.48,1.18,2.81,2.6,1.6,1.81,1.3,1.5,1.82,1.86,3.83,2.25,1.41,1.08,3.56,2.9,3.09,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,2.06,3.07,3.77,2.38,2.24,1,3.39,1.35,1,1.16,0.41,2.77,1.02,1.91,2.48,1.51,3.01,1.89,2.13,1.71,2.5,4.2,1.16,1.07,2.07,1.18,2.53,2.44,1.24,4.4,3.96,3.77,2.05,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,24.17,24.43,30.45,24.86,21.42,25.83,23.31,18.09,22.54,24.26,22.56,24.31,28.5,17.48,24.83,21.43,20.76,18.92,21.13,22.92,24.08,19.56,19.19,26.2,19.69,20.41,24.86,21.18,18.38,24.48,29.02,19.99,28.86,21.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observer: DAWSON (Monthly Gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Many values are identical on this sheet with those of the other gauge run by the same observer. However some are also identical to those of two of the other observers in this village.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
