"BOULGE HALL, NR WOODBRIDGE",,,,,,,,,,,,
Grid ref,TM253526,Long,1.290001,Lat,52.125762,,,,,,,
Station no,RR6827,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,2.57,2.10,0.98,4.21,1.16,0.61,0.46,,
February,,,,0.35,2.41,1.10,2.20,0.85,1.75,1.06,,
March,,,,1.38,1.86,2.16,1.72,0.95,1.95,3.14,,
April,,,,2.22,0.91,2.43,0.92,3.30,2.46,1.75,,
May,,,,2.16,2.22,1.71,1.30,1.94,1.48,1.37,,
June,,,,3.26,0.69,4.70,2.83,2.24,0.56,3.50,,
July,,,,5.08,2.51,0.44,0.26,1.87,3.58,2.91,,
August,,,,3.90,1.34,2.64,0.46,1.70,1.87,2.05,,
September,,,,2.44,1.36,2.70,1.84,0.87,1.63,2.29,,
October,,,,3.88,1.01,2.01,3.45,2.95,1.55,4.87,,
November,,,,2.15,1.19,2.16,4.10,1.79,1.26,1.13,,
December,,,,1.38,1.90,0.93,1.73,2.46,1.94,4.55,,
Total,,,,30.77,19.50,23.96,25.02,22.08,20.64,29.08,,
Calc annual,0.00,0.00,0.00,30.77,19.50,23.96,25.02,22.08,20.64,29.08,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
