WOODBRIDGE-BOULGE-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,TM253526,Long,1.2900008,Lat,52.125762,Elevation,145,ft,,,,,,,,,,,,
Station no,RR6827,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,2.57,2.1,0.98,4.21,1.16,0.61,0.46,1.53,1.39,2.32,3.72,1.52,2.95,,,,
February,,,,0.35,2.41,1.1,2.2,0.85,1.75,1.06,2.38,1.04,1.43,0.65,1.76,3.37,,,,
March,,,,1.38,1.86,2.16,1.72,0.95,1.95,3.14,1.09,2.35,3.21,2.13,4.38,1,,,,
April,,,,2.22,0.91,2.43,0.92,3.3,2.46,1.75,1.41,1.43,0.33,2.22,0.8,1.13,,,,
May,,,,2.16,2.22,1.71,1.3,1.94,1.48,1.37,3.53,0.69,0.34,1.46,1.33,2.71,,,,
June,,,,3.26,0.69,4.7,2.83,2.24,0.56,3.5,1.92,3.29,3.01,0.88,1.12,0.39,,,,
July,,,,5.08,2.51,0.44,0.26,1.87,3.58,2.91,2.85,1.26,2.37,2.43,1.69,5.24,,,,
August,,,,3.9,1.34,2.64,0.46,1.7,1.87,2.05,3.77,0.54,8.15,0.84,0.83,2.56,,,,
September,,,,2.44,1.36,2.7,1.84,0.87,1.63,2.29,1.1,1.86,2.47,1.25,1.1,1.61,,,,
October,,,,3.88,1.01,2.01,3.45,2.95,1.55,4.87,1.42,2.67,1.96,3.37,2.06,1.8,,,,
November,,,,2.15,1.19,2.16,4.1,1.79,1.26,1.13,3.36,3.53,2.05,2.45,2.69,2.46,,,,
December,,,,1.38,1.9,0.93,1.73,2.46,1.94,4.55,5.03,4.51,1.94,1.06,6.35,5.5,,,,
Total,,,,30.77,19.5,23.96,25.02,22.08,20.64,29.08,29.39,24.56,29.58,22.46,25.63,30.72,,,,
