LITTLE-KIMBLE (BROOK COTTAGE),,,,,,,,,,
Grid ref,SP824071,Long,-0.80760013,Lat,51.756537,Elevation,322,ft,,
Station no,986,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,0.75,2.84,0.8,
February,,,,,,,0.4,2.8,1.46,
March,,,,,,,3.26,4.48,1.16,
April,,,,,,,0.79,1.89,2.09,
May,,,,,,,0.34,0.84,2.2,
June,,,,,,,2.92,2.98,1.59,
July,,,,,,,0.81,0.96,0.96,
August,,,,,,,3.67,3.32,0.81,
September,,,,,,,6.79,2.39,0.61,
October,,,,,,,3.46,1.28,2.92,
November,,,,,,,1.33,1.13,3.65,
December,,,,,,,4.08,4.13,3.28,
Total,,,,,,,28.6,29.04,21.53,
