LITTLE-KIMBLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP827068,Long,-0.80332606,Lat,51.753797,Elevation,375,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,1.88,2.24,1.3,2.85,2.66,3.33,1.23,3.16,1.26,1.65,1.5,1.78,0.59,3.85,4.26,2.74,4.05,2.43,2.27,2.4,3.78,1.3,1.66,1.16,1.89,,,
February,,,,4.38,0.56,3.66,1.7,3.51,1.64,0.53,0.48,1.55,0.23,3.23,0.2,2.1,2.2,3.28,0.56,1.16,1.74,2,0.69,1.1,1.17,1.42,1.51,1.28,,,
March,,,,1.62,1.34,0.61,0.16,2.33,1.76,0.07,1.2,0.04,1.72,2.27,2.08,0.29,1.37,3.28,0.18,1.42,2.18,2.54,1.64,0.48,0.21,0.61,1.1,4.46,,,
April,,,,1.96,2.76,1.84,2.56,1.54,0.83,0.96,1.96,3.22,1.96,1.06,1.58,3.92,1.19,2.81,0.12,2.4,1.58,2.2,1.15,0.93,1.56,1.23,1.06,,,,
May,,,,1.82,6.33,2.34,2.47,1.12,1.25,1.54,2.43,2.55,4.68,1.68,0.53,0.75,1.55,3.4,2.2,1.43,1.44,1.77,2.9,2.18,0.66,2.44,3.53,,,,
June,,,,0.35,2.27,0.02,2.59,3.04,1.74,0.57,1.87,1.52,0.82,1.23,1.32,3.22,3.27,2.52,0.61,1.59,1.08,1.62,0.43,2.29,1.44,2.19,2.83,,,,
July,,,,2.36,4.19,5.22,2.14,2.98,2.83,1.68,2.02,4.52,2.6,1.65,1.33,1.29,2.81,1.06,1.66,3.56,2.6,4.58,1.96,1.13,1.65,2.43,1.52,,,,
August,,,,3.86,1.84,2.06,1.03,4.09,3.09,0.43,2.27,5.83,3.77,0.46,1.87,1.58,0.23,1.56,2.46,2.74,0,3.05,1.75,1.59,1.99,1.17,3.44,,,,
September,,,,2.63,3.81,3.25,2.18,4.53,0.89,0.2,3.14,2.16,2.23,2.02,1.83,3.86,3.02,2.56,1.66,0.65,0.6,0.26,1.03,1.29,2.45,1.64,4.02,,,,
October,,,,4.23,3.5,2.58,1.96,1.56,3.98,3.73,1.02,0.76,4.39,1.45,1.58,3.13,1.22,3.08,2.54,5.27,2.91,1,3.06,2.46,3.55,3.24,1.36,,,,
November,,,,1.6,2.71,2.01,3.93,2.88,2.55,5.9,3.88,2.76,1.42,1.26,2.29,3.63,2.98,1.22,2.65,4.15,6.79,2.8,1.47,1.06,3.35,0.26,4.81,,,,
December,,,,2.67,3.39,1.71,0.4,2.45,1.97,5.39,2.33,0.82,0.51,0.32,5.16,3.01,2,2.68,2.81,1.55,1.16,1.27,2.7,0.95,1.62,2.94,2.06,,,,
Total,,,,29.36,34.94,26.6,23.97,32.69,25.86,22.23,25.76,26.99,25.98,18.13,21.55,27.37,25.69,31.71,20.19,29.97,24.51,25.36,21.18,19.24,20.95,21.23,28.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow estimates kept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925 May IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 Oct IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Jun IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
