KENTON-MIX-(THE-STORES),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX958833,Long,-3.4746,Lat,50.6409,Elevation,60,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1761/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2,5.6,4.45,8.33,1.98,3.11,3.77,3.54,6.42,0.59,0.92,3.47,2.9,0.48,1.81,4.43,3.43,2.77,3.62,3.76,3.56
February,,,,,,,,,,4.85,4.43,0.22,1.89,0.49,1.98,2.94,1.87,1.5,1.44,5.53,5.47,0.44,1.33,3.08,2.66,0.2,5.22,3.83,0.31,4.47
March,,,,,,,,,,3.28,3.16,3.11,1.27,0.19,0.75,1.39,9.11,1.3,1.51,1.55,4.49,2.52,0.56,3.48,1.62,0.97,3.15,1.7,4.48,2.71
April,,,,,,,,,,3.29,1.68,1.99,1.02,1.99,0.7,2.4,2.75,2.38,1.68,2,1.79,2.77,3.27,0.01,1.05,0.68,0.07,0.37,3.3,2.57
May,,,,,,,,,,1.77,2.58,6.35,3.36,0.49,3.74,5.91,3.51,2.72,1.74,2.81,2.5,2.49,3,2.29,3.44,0.81,1.81,2.81,1.42,1.9
June,,,,,,,,,,0.92,2.07,0.77,1.07,2.04,2.46,2.51,2.96,1.63,0.47,1.14,1.1,2.09,1.78,3.17,3.39,1.19,2.33,3.52,1.07,0.95
July,,,,,,,,,,2.56,0.73,1.63,2.26,2.38,2.32,1.21,1.37,1,1.42,4.21,3.8,0.83,1.99,2.15,3.2,2.69,3.26,2.34,2.37,3.04
August,,,,,,,,,,0.11,3.68,3.53,2.62,4.4,2.16,4.37,1.17,3.24,0.86,4.05,3.62,4.06,1.52,3.04,0.54,2.58,1.9,3.27,2.98,3.89
September,,,,,,,,,,1.7,1.02,2.48,2.92,2.02,3.22,5.65,2.76,1.13,3.5,3.69,4.18,2.66,2.46,2.36,1.34,6.15,1.61,3.36,0.19,6.52
October,,,,,,,,,,4.88,1.35,3.59,3.44,4.2,3.19,1.91,0.87,3.35,6.22,1.47,0.86,4.87,3.13,2.22,1.74,1.51,1.8,2.91,2.84,10.91
November,,,,,,,,,,6.71,2.9,0.95,2.57,5.69,1.03,6.13,1.99,1.4,4.85,6.36,5.57,4.09,1.64,7.35,3.92,1.35,2.12,2.87,7.51,3.95
December,,,,,,,,,,3.9,2.93,4.34,3.36,2.93,6.12,4.62,2.14,6.18,1.04,3.86,2.6,2.45,0.66,3.22,5.02,4.86,2.29,4.44,6.4,3.39
Total,,,,,,,,,,35.97,32.13,33.41,34.11,28.8,30.78,42.81,34.04,32.25,25.32,37.59,39.45,32.17,21.82,34.18,32.35,26.42,28.33,35.04,36.63,47.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
These sheets say Vicarage and the observer was Reverend ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The distance to the church works for the Vicarage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The move to The Stores might have been after 1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
According to CEDA The Stores gauge was very close to The Vicarage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheets give altitude of 100ft but that is too high for this area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Feb Gauge moved 40ft SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 Oct Howard gauge set up next to Glaisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
