"KENTON (THE STORES)",,,,,,,,,,,,
Grid ref,SX957833,Long,-3.476365,Lat,50.640027,,,,,,,
Station no,1761/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.47,2.90,0.48,1.81,4.43,3.43,2.77,3.62,3.76,3.56,,
February,5.47,0.44,1.33,3.08,2.66,0.20,5.22,3.83,0.31,4.47,,
March,4.49,2.52,0.56,3.48,1.62,0.97,3.15,1.70,4.48,2.71,,
April,1.79,2.77,3.27,0.01,1.05,0.68,0.07,0.37,3.30,2.57,,
May,2.50,2.49,3.00,2.29,3.44,0.81,1.81,2.81,1.42,1.90,,
June,1.10,2.09,1.78,3.17,3.39,1.19,2.33,3.52,1.07,0.95,,
July,3.80,0.83,1.99,2.15,3.20,2.69,3.26,2.34,2.37,3.04,,
August,3.62,4.06,1.52,3.04,0.54,2.58,1.90,3.27,2.98,3.89,,
September,4.18,2.66,2.46,2.36,1.34,6.15,1.61,3.36,0.19,6.52,,
October,0.86,4.87,3.13,2.22,1.74,1.51,1.80,2.91,2.84,10.91,,
November,5.57,4.09,1.64,7.35,3.92,1.35,2.12,2.87,7.51,3.95,,
December,2.60,2.45,0.66,3.22,5.02,4.86,2.29,4.44,6.40,3.39,,
Total,39.45,32.17,21.82,34.18,32.35,26.42,28.33,35.04,36.63,47.86,,
Calc annual,39.45,32.17,21.82,34.18,32.35,26.42,28.33,35.04,36.63,47.86,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
