PATTERDALE HALL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY389162,Long,-2.9457,Lat,54.5375,Elevation,490,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,4.9,10.3,9.5,2.1,7.4,16.4,4.2,,8.3,3.2,,7.2,5.4,6.7,4.2,7,19.5,10.7,6.9,7.2,3.6,,,,,,,,,,,,,,,12.34,9.1,20.32,26.03,10.3,15.15,5,-999,8.75,2.18,3.13,0.63,7.15,18.53,13.23,6.25,9.75,8.03,4.19,4.68,17.53,7.46,5.96,4.57,14.09,3.85,5.44,2.09,6.26,15.33,10.7,5.88,6.8,16.73,13.74,5.38,14.49,3.31,8.26,10.57,10.47,5.2,9,11.66,9.36,10.14,14.39,3.7,11.9,11.24,13.64,17.62,8.41,8.32,8.98,11.44,15.42,12.05,22.58,2.64,19.88,8.51,20.19,12.7,17.26,4.52,12.9,14.73,14.89,13.51,3.06,2.48,7.95,16.13,13,7.15,14.26,14.85,18.92,5.94,6.92,9.28,8.87,3.4,7.57,8,6.09,,,,
February,14,4.8,10.9,3.2,8.2,2.6,6,6.4,4.2,4,,11,3.2,3.2,6.3,4.3,4.2,,10.6,4.5,5.1,,,,,,,,,,,,,,,12.06,8.25,13.48,3.95,7.1,2.49,8.59,-999,5.81,5.5,13.68,7.62,11.35,15.28,13.1,19.85,2.49,4.17,1.53,3.45,1.67,0.66,3.77,11.99,16.35,1.41,5.36,7.49,7.99,8.85,8.4,3.09,4.04,15.71,8.27,6.66,7.65,5.85,6.85,4.89,14.97,11.22,7.77,8.67,18.77,17.78,12.95,1.44,12.39,1.29,10.36,0.3,9.75,15.36,1.34,11.53,8.54,5.21,10.39,1.8,0.84,6.86,0.15,6.79,0.5,15.66,5.38,10.35,6.01,13.16,3.02,8.35,3.22,7.82,3.2,10.86,7.01,0.61,9.51,9.86,12.9,10.78,1.68,3.05,8.5,3.27,1.26,,,,
March,5.6,11.8,3.2,0,5.8,0,10.3,9,3,6.2,,12.2,3,5,4,3,4.5,6.7,3.1,6.1,7.6,,,,,,,,,,,,,,,4.43,8.83,6.95,0.4,7.3,3.42,8.25,-999,4.65,6.75,4.41,9.58,8.45,6.08,7.71,7.32,9.77,3.23,7.63,3.56,5.49,5.42,2.66,4.85,8.01,7.04,12.19,16.12,2.47,6.87,0.87,7.21,6.42,23.78,7.78,10.06,6.34,8.82,9.17,6.48,8.15,2.45,14.6,16.4,9.93,2.89,3.69,4.32,3.58,7.43,13.4,16.22,6.42,5.14,1.45,3.42,4.6,10.19,10.4,1.17,5.52,1.95,5.53,7.66,6.12,2.51,5.09,4.5,6.26,9.05,11.4,4.53,6.91,3.71,0.92,6.82,5.75,11.45,9.36,2.84,7.65,7.32,5.5,1.29,8.61,2.51,3.84,,,,
April,1.3,6.2,3.2,2.9,3.2,3,4,1.2,11,-999,,6,4.3,6.7,7,2,2.3,4.9,1.1,9.3,,,,,,,,,,,,,,,,1.99,3.31,2.21,1.2,5.74,1.45,2.3,4.2,3.24,3.09,7.17,1.91,7.47,3.85,3.6,6.82,6.84,4.83,4.19,4.74,2.52,4.67,1.52,0.92,3.64,5.06,3.65,5.03,8.35,7.52,6.07,6.23,5.62,2.69,8.78,8.63,2.28,4.22,4.23,5.83,7.4,5.65,2.33,12.64,4.9,4.69,6.58,4.2,1.67,4.17,9.1,2.22,4.59,6.89,4.46,9.42,5.42,5.3,2.83,2.58,3.19,4.32,9.23,2.75,6.84,7.1,1.97,4.32,0.77,4.06,4.15,3.88,7.86,5.16,4.81,3.8,2.25,16.97,5.51,10.12,5.99,7.2,6.31,7.34,1.55,2.65,1.69,,,,
May,5.1,0,2.5,5,1.6,3.2,8.3,5.2,4,-999,,,5.2,10,8.4,3,1.2,2.3,3.4,4.6,4.5,,,,,,,,,,,,,,,8.49,2.1,4.41,2,2.1,4.5,3.1,7.52,9.2,2.34,2.24,6.68,6.42,2.87,7.04,5.48,7.63,2.75,6.86,5.22,4.5,4.16,7.78,3.06,5.38,0.64,0.64,3.33,3.71,6.18,6.04,2.41,4.14,5.25,5.31,3.32,8.94,9.92,4.62,3.74,4.43,5.9,2.68,5.19,4.18,1.3,5.53,4.3,2.76,2.23,11.85,5.17,3.14,5.51,7.69,9.94,5.36,3.74,1.76,7.46,3.19,6.58,5.36,3.83,7.09,1.02,1.62,3.04,6.88,1.32,1.65,5.69,9.45,8.48,3.04,6.6,1.21,5.89,3.28,4.97,4.63,3.14,5.05,4.14,6.02,8.76,2.35,,,,
June,3.3,12.2,5,6.5,4.3,5.4,4,6.2,5.2,4.8,,8.2,2.4,6.4,5.4,4.3,5,3.4,7.2,5.1,2.1,,,,,,,,,,,,,,,3.1,2.36,5.89,3.4,1.83,6.9,3.75,7.08,4.43,9.09,5.11,7.59,6.97,5.53,1.08,1.8,2.49,0.48,2.46,1.4,5.38,2.56,5.45,3.44,3.26,1.77,5.03,5.91,5.39,1.44,6.61,4.93,1.85,2.74,3.39,3.51,1.91,10.48,3.67,4.12,1.83,7.2,8.83,6.15,1.78,0.43,4.73,3.18,3.2,3.74,2.39,0.35,3.82,2.76,3.84,0.27,6.07,5.57,10.56,2.42,4.48,8.45,4,3.96,2.9,9.56,4.57,3.38,12.22,5.73,1.22,0.24,1.15,8.08,6.29,6.95,7.89,5.57,12.08,1.42,3.49,2.1,4.91,4.77,7.54,4.3,5.47,,,,
July,7.4,7.6,4,8.7,15.6,8.5,4.3,8.4,6.1,5.3,5.6,9,3.2,5,4,2.1,4,6.7,5.1,3.1,5.2,,,,,,,,,,,,,,,0.69,6.39,3.94,8.8,2.34,5.3,4.41,9.23,1.43,8.7,6.4,7.03,13.68,5.25,8.54,3.44,7.06,6.17,9.41,4.07,6.52,4.56,5.59,5.84,3.53,7.99,5.39,2.76,1.77,5.1,2.86,1.83,3.71,4.95,4.15,1.82,3.75,1.82,4.75,8.72,5.89,1.48,8.24,0.95,5.61,6.45,4.59,2,6.03,1.8,8.9,4.86,9.67,5.01,8.88,1.79,6.02,6.94,5.81,8.38,4.53,7.53,8.98,6.94,1.58,2.97,9.36,3.65,12.47,9.53,8.08,1.69,4.64,5.32,3.59,6.07,6.6,4.45,4.13,2.4,6.64,3.94,4.14,12.15,6.54,3.94,8.89,,,,
August,2.7,7.2,4.1,9.05,8.5,8.3,7.5,4.3,4.1,5.7,7.6,7.3,4.2,6.7,2.3,13,11,9.2,3.9,4.7,5.7,,,,,,,,,,,,,,,2.77,7.08,5.31,9.1,11.16,5.25,5.83,9.71,7.21,9.67,2.32,7.24,5.55,5.91,1.09,5.07,3.28,3.21,5.6,7.11,6.83,15.87,10.42,7.48,7.2,8.04,3.43,12.8,7.96,1.86,8.63,6.26,3.23,12.12,7.03,8.13,6.87,7.09,10.19,3.87,14.99,5.98,8.14,2.92,5.9,3.92,3.76,15.14,6.8,5.81,4.41,10.16,6.5,15.94,6.25,6.86,8.12,10.47,12.7,8,13.06,5.34,1.98,4.81,8.83,3.17,3.62,4.11,5.13,3.5,3.37,11.73,10.28,10.61,6.47,2.74,10.2,0.09,10.93,4.49,12.82,8.19,9.98,7.12,8.4,3.41,13.03,,,,
September,13.4,5.5,4.05,3.3,17.4,10.2,6,2.2,3.2,6.7,7.4,7.8,5.2,4.1,5,4.2,2,5.7,3.1,6.2,6.1,,,,,,,,,,2.01,,,,,9.43,3.86,11.33,6.64,13.05,7.7,7.23,5.75,9.11,9.64,7.06,3.2,5.6,9.25,9.05,9.36,13.35,7.82,1.41,3.52,5.74,13.04,12.31,6.77,0.43,3.29,11.85,7.15,3.77,8.93,5.86,6.77,4.12,7.83,4.64,7.79,2.52,1.09,8.07,3.52,0.83,5.58,3.8,3.91,4.69,1.51,3.49,6.82,18.26,7.2,4.11,3.07,6.2,10.85,13.67,6.62,6.56,10.27,3.97,3.18,5.83,3.64,8.25,2.02,11.39,16.14,10.32,6.22,4.51,2.47,7.66,2.31,9.93,11.64,9.85,9.29,15.54,8.54,10.28,2.51,20.25,12.94,10.08,12.87,16.31,5.79,6.05,,,,
October,6.9,8.3,11.25,14.2,6,2.3,4,4.6,14,3.8,7.6,7.4,12,11.2,4,6,11.2,10.1,7.9,3.6,10.2,,,,,,,,,,5.25,,,,,18.97,9.36,12.14,7.35,22.45,7.45,6,15.71,11.73,2.94,3.51,4.48,6.47,10.3,6.51,11.76,8.74,4.32,12.65,11.43,3.92,15.4,9.85,9.29,10.43,7.43,11.29,6.37,8.4,7.97,12.15,7.32,7.31,20.81,3.78,6.82,13.05,13.18,3.39,17.61,4.43,8.75,9,5.9,2.43,2.26,20.2,16.78,14.04,2.86,3.86,4.19,3.38,18.91,8.92,12,8.4,11.48,18.81,12.92,17.59,5.37,13.92,7.57,15.57,16.6,8.73,5.99,21.57,4.92,10.87,7.97,9.14,14.38,10.91,12.55,1.25,2.3,7.5,12.86,8.58,1.35,10.52,4.56,20.26,6.6,6.74,,,,
November,10.8,12.7,8.3,12.8,7.2,6.2,3.3,11,7.1,2,13,5,10,12,3.4,8.6,,13.9,8.2,4.9,9.7,,,,,,,,,,11.24,,,,,7.28,2.48,13.55,6.82,8.75,6.69,9.5,20.81,4.04,2.18,12.2,18.33,13.88,14.95,5.96,6.93,9.16,4.95,16.17,3.77,13.29,10.88,8.08,5.31,14.99,11.8,3.14,10.76,11.04,13.92,6.68,7.61,8.37,5.96,4.7,10.83,7.18,7.57,7.37,4.94,7.33,15.33,7.72,10.5,15.86,4.99,17.94,10.75,8.46,7.77,8.92,4.77,4.8,10.59,6.68,4.29,17.98,10.04,15.83,19.33,10.68,20.04,7.18,3.5,1.97,9.63,11.31,2.16,16.67,17.46,12.17,8.06,2.79,7.36,15.24,0.83,21.54,14.2,7.52,18.84,8.36,27.03,4.77,17.2,22,4.71,2.01,,,,
December,3,13.4,9.1,7.5,7.4,2.1,,9.1,3.7,4.5,11,3,8.2,8.2,6,5,8.1,11.1,9.6,3.7,8.6,,,,,,,,,,6.41,,,,,4.32,13.27,16.77,6.43,2.5,9.38,11.41,10.43,5.21,7.99,8.39,10.76,7.48,7.8,13.21,3.64,13.23,8.91,13.28,8.21,0.47,20.64,2.92,14.28,10.8,7.24,10.73,19.43,17.74,4.81,19.97,9.95,12.12,9.13,9.13,4.55,4.92,15.45,7.84,10.06,12.47,20.67,18.76,9.09,18.78,17.1,7.31,4.2,12.32,17.18,9.53,16.1,16.87,7.57,20.97,10.26,2.02,3.22,8.16,22.76,10.32,6.66,17.75,1.11,18.35,5.95,17.23,5.9,8.32,5.84,9.8,6.76,15.97,6.87,9.99,7.1,13.45,4.78,17.02,17.84,3.63,19.31,6.76,5.49,12.45,12.96,15.02,,,,
