CLATTERINGSHAWS (TUNNEL INTAKE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX554780,Long,-4.266404,Lat,55.07533,Elevation,600,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5015/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,8.88,14.19,7.99,13.72,3.39,7.66,11.31,10.05,8.43,3.34,1.54,9.61,11.25,8.09,4.9,10.51,8.09,11.86,5.76,5.22,8.14,8.2,3.6,6.91,5.84,4.51,6.78,7.47,3.24,7.54
February,6.64,0.12,8.22,1.01,8.52,3.65,7.35,4.89,10.22,2.99,4.77,2.51,7,2.3,8.92,4.65,0.95,5.32,6.06,6.91,4.89,1.99,2.44,6.79,3.16,1.27,4.68,4.93,3.09,7.93
March,1.57,3.97,5.94,4.23,2.76,4.99,3.08,4.33,6.66,6.09,4.98,5.54,2.42,0.86,4.49,3.57,7.45,6.72,2.89,5.91,5.01,5.14,0.85,4.6,2.91,3.14,5.89,1.68,5.45,2.17
April,3.13,6.54,4.71,5.06,5.29,1.73,3.57,1.01,3.29,3.39,3.06,4.3,4.31,3.89,2.62,1.87,11.1,3.22,6.63,5.36,4.25,3.44,3.3,1.86,3.35,1.99,2.67,2.06,5.24,7.59
May,5.18,4.73,3.28,6.37,1.14,2.45,2.82,6.87,1.27,1.66,3.79,5.25,4.65,4.29,6.76,0.87,5.47,2.21,2.19,2.36,2.54,3.68,4.19,4.73,5.16,2.8,3.73,4.29,1.67,2.83
June,8.9,2.89,4.46,2.92,7.65,3.82,4.13,7.94,4.07,1.2,0.96,1.33,5.2,5.23,4.9,5.54,4.98,5.38,0.84,4.94,3.22,3.58,2.17,5.72,3.95,4.09,2.08,4.38,4.09,3.52
July,6.08,4.99,7.13,4.61,2.82,8.7,5.98,8.42,6.44,5.34,3.21,4.55,3.23,3.61,4.1,4.55,5.56,7.77,3.15,6.33,3.39,4.11,8.14,4.4,2.37,5.61,6.45,4.27,5.14,5.67
August,2.81,2.6,4.43,6.13,2.51,4.94,3.38,4.1,2.14,2.18,7.27,8.09,8.07,4.59,2.43,4.56,0.31,8.54,5.32,7.42,10.62,5.94,4.55,4.65,1.83,8.42,5.78,5.28,1,5.51
September,2.35,9.12,2.45,9.72,7.3,5.88,4.8,7.14,3.78,5.79,3.14,8.71,4.29,6.58,7.6,11.15,7.56,7.88,2.34,16.59,7.71,4.02,9.33,8.99,4.21,6,5.47,7.58,1.88,4.85
October,6.44,8.32,4.61,12.07,11.64,8.68,2.39,12.96,4.96,8.83,7.53,7.84,11.43,8.73,8.5,0.97,2.3,6.66,8.27,6.68,0.99,7.21,5.94,12.81,4.61,5.2,6.04,6.91,8.26,6.46
November,14.56,7.54,3.86,1.78,9.75,6.92,1.8,13.07,12.6,9.61,6.46,1.81,5.26,10.17,0.43,12.14,10.28,6.12,8.89,5.01,13.68,4.23,9.27,12.08,4.06,3.43,3.59,2.9,9.15,11.42
December,8.95,14.31,3.16,15.97,5.02,9.5,3.74,6.68,3.8,8.69,4.16,12.85,4.22,8.42,6.75,7.65,4.31,8.82,12.96,3.33,14.3,6.43,5.93,9.04,9.34,6.77,8.24,6.59,12.19,7.87
Total,75.49,79.32,60.24,83.59,67.79,68.92,54.35,87.46,67.66,59.11,50.87,72.39,71.33,66.76,62.4,68.03,68.36,80.5,65.3,76.06,78.74,57.97,59.71,82.58,50.79,53.23,61.4,58.34,60.4,73.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
