"ROBERTON, TODSHAWHAUGH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT459138,Long,-2.8561114,Lat,55.415118,Elevation,450,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR3039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,5.32,2.11,6.26,4.83,4.46,1.52,3.98,3.86,3.6,4.68,1.83,1.66,3.49,3.37,2.36,3.08,2.8,,,,
February,,,,,,,,,,,0.48,2.86,0.3,2.8,0.22,3.49,2.59,3.52,2.01,3.73,1.41,3.21,2.11,2.26,1.56,3.1,1.24,,,,
March,,,,,,,,,,,2.63,0.95,2.76,1.55,2.82,1.18,2.12,2.14,1.69,3.37,3.58,2.39,1.99,1.42,0.47,1.77,2.14,,,,
April,,,,,,,,,,,1.22,2.23,2.96,1.12,3.54,3.89,1.24,1.7,0.29,1.09,2.31,1.6,1.51,1.68,1.56,1.39,,,,,
May,,,,,,,,,,,1.5,3.33,2.33,2.21,2.24,0.97,0.51,3.5,3.01,1.32,2.28,2.5,2.19,3.75,2.53,3.76,,,,,
June,,,,,,,,,,,2.39,5.55,1.25,1.05,2.06,3.26,2.18,1.58,4.34,2.61,1.37,0.81,0.83,2.5,2.25,2.19,,,,,
July,,,,,,,,,,,4.59,2.75,3.45,3.26,2.56,1.03,4.6,2.91,4.64,3.68,5.4,1.72,2.17,2.66,2.41,1.79,,,,,
August,,,,,,,,,,,5.37,3.32,1.58,1.55,3.46,3.84,1.56,2.94,1.51,2.17,0.84,4.68,1.88,5.36,1.95,2.06,,,,,
September,,,,,,,,,,,3,1.48,3.89,0.81,2.88,3.62,3.21,1.86,2.02,1.58,2.92,1.07,3.6,2.53,4.77,2.45,,,,,
October,,,,,,,,,,3.29,6.17,2.74,4.99,3.77,5.63,6.02,3.18,2.57,5.96,2.52,2.78,3.67,3.03,4.68,2.17,3.12,,,,,
November,,,,,,,,,,5.34,4.3,5.56,2.1,1.49,1.99,4.11,3.47,0.63,7.02,4.7,3.06,3.08,0.52,1.41,5.65,0.37,,,,,
December,,,,,,,,,,6.97,3.14,2.37,6.09,0.56,3.42,1.16,4.52,3.41,2.47,1.14,2.74,1.14,3.31,1.05,3.56,1.6,,,,,
Total,,,,,,,,,,,40.11,35.25,37.96,25,35.28,34.09,33.16,30.62,38.56,32.59,30.52,27.53,26.63,32.67,31.24,26.68,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1946 record ends March rest of year given -100 values which were initially transcribed, now deleted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1932, 1934, 1935, 1937 and 1940 several months in brackets so presumably estimated but no comments and totals accepted as correct.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
