IRVINE (RAVENSPARK HOSPITAL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS311406,Long,-4.684362,Lat,55.629548,Elevation,42,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5233/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,5.6,3.49,3.84,2.49,4.64,3.78,5.39,3.86,2.84,0.58,4.55,4.12,4.09,3.62,4.85,2.94,6.21,4.41,2.72,4.37,3.93,2.16,4.41,2.48,3.18,3.69,4.6,1.37,3.78
February,,0.02,2.71,0.53,4.23,1.96,4.94,1.84,4.78,1.72,2.17,1.6,3.86,1.47,5.89,2.09,0.3,3.59,3.84,3.8,2.84,2.56,1.52,3.29,2.37,1.45,2.12,3.17,1.41,2.26
March,,2.6,1.94,2.14,2.07,2.38,0.85,2.97,3.75,4.73,2.19,2.35,1.78,0.39,2.71,1.98,2.5,3.03,2.48,2.61,2.89,3.89,0.65,2.41,1.42,2.17,4.41,1.06,1.63,1.97
April,,3.37,1.86,2.62,3,1.35,1.72,0.41,1.83,2.2,1.63,1.92,2.88,2.71,1.91,2,4.65,2.43,4.27,2.86,1.71,1.79,1.08,1.19,2.72,1.33,2.66,1.28,2.75,2.4
May,,2.91,3,2.48,0.7,2.36,1.56,3.12,1.09,0.85,2.3,2.5,3.72,2.98,3.71,1.26,5.16,1.66,2.73,1.4,2.03,1.58,1.79,2.41,3.5,2.09,2.08,2.88,1.12,1.74
June,,1.71,2.12,2.21,3.4,2.09,3.21,4.03,2.09,0.64,1.12,1.66,3.18,3,3.2,2.09,3.73,5.13,1.08,2.09,2.06,3,0.88,3.96,2.8,2.07,2.48,2.41,3.6,2.15
July,,4.03,3.36,1.83,1.75,5.4,4.94,4.62,5.08,2.83,3.61,3.19,2.35,3.99,2.72,3.69,2.77,3.23,1.95,5.31,2.3,3.07,4.35,3.74,1.28,4.41,4.85,4.37,4.94,3.76
August,,2.85,3.36,3.65,1.69,3.62,3.42,2.72,2.81,2.34,2.19,4.93,6.56,3.29,2.1,1.83,0.12,6.12,5.15,4.04,3.99,3.89,2.5,4.75,1.16,6.44,3.71,3.11,0.49,3.54
September,,4.45,0.79,5.51,5.46,4.24,2.28,3.95,2.55,5.3,2.18,4.61,2.94,6.08,4.04,7.72,4.26,6.96,1.65,8.65,3.09,2.87,4.07,6.5,4.84,3.94,3.89,4.27,1.54,3.75
October,,5.86,2.55,6.79,7.73,4.38,3.58,7.57,1.68,4.74,4.45,4.24,7.06,5.66,5.8,0.62,1.97,6.29,4.91,2.76,0.83,4.81,3.51,8.59,2.37,2.68,4.8,4.11,5.06,2.28
November,,3.43,2.71,1,4.75,3.59,1.22,5.83,7.55,5.6,2.21,0.55,2.84,6.24,0.32,6.34,6.3,3.28,5.29,2.91,4.79,2.29,5.92,5.66,2.13,1.52,1.91,1.83,3.23,3.89
December,,7.22,1.72,6.12,3.56,4.53,2.65,2.6,2.99,5.51,1.65,4.68,2.4,4.75,3.19,4.25,2.03,5.84,6.08,1.35,6.29,4.28,4.52,5.39,6.71,4.59,3.21,4.72,5.06,5.51
Total,,44.05,29.61,38.72,40.83,40.54,34.15,45.05,40.06,39.3,26.28,36.78,43.69,44.65,39.21,38.72,36.73,53.77,43.84,40.5,37.19,37.96,32.95,52.3,33.78,35.87,39.81,37.81,32.2,37.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932 Dec crossed out on record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
