RAMSEY (BALLURE RESERVOIR),,,,,,,,,,,,
Grid ref,SC455930,Long,-4.376275,Lat,54.309154,,,,,,,
Station no,4419/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,2.35,6.29,5.50,5.52,5.57,9.12,4.62,6.91,,
February,,,1.19,7.49,3.87,0.56,6.84,6.71,1.24,8.61,,
March,,,0.50,6.71,3.44,2.22,4.51,2.13,4.46,2.18,,
April,,,3.77,0.54,2.32,1.07,1.10,0.95,4.17,5.32,,
May,,,4.17,3.86,4.06,1.43,4.32,4.12,1.36,2.63,,
June,,,2.60,2.61,4.47,3.17,1.15,4.12,3.43,2.89,,
July,,,3.43,2.74,2.17,3.71,3.68,3.58,2.94,7.16,,
August,,,4.64,4.35,1.31,9.59,4.36,5.15,0.64,3.80,,
September,,,7.35,7.21,3.14,4.39,9.56,6.37,1.28,5.25,,
October,,,5.89,8.59,3.39,3.51,5.71,4.00,6.88,5.66,,
November,,,6.73,11.91,4.17,2.14,3.91,3.42,8.38,12.54,,
December,,,3.74,7.23,7.09,6.06,5.28,7.29,11.77,6.29,,
Total,,,46.36,69.53,44.93,43.37,55.99,56.96,51.17,69.24,,
Calc annual,0.00,0.00,46.36,69.53,44.93,43.37,55.99,56.96,51.17,69.24,,
Difference,NaN,NaN,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
