SOUTH-BRENT-DIDWORTHY,,,,,,,,,,,,,,,,,,,,
Grid ref,SX685621,Long,-3.8522,Lat,50.4446,Elevation,680,ft,,,,,,,,,,,,
Station no,1678/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,4.69,3.77,8.52,,,,,,,,,
February,,,,,,,,,4.4,1.11,10.64,,,,,,,,,
March,,,,,,,,,,,1.65,,,,,,,,,
April,,,,,,,,,4.68,3.81,3.88,,,,,,,,,
May,,,,,,,,,3.81,2.35,4.63,,,,,,,,,
June,,,,,,,,,1.09,5.65,2.71,,,,,,,,,
July,,,,,,,,,,5.6,6.4,,,,,,,,,
August,,,,,,,,,6.73,3.15,8.19,,,,,,,,,
September,,,,,,,,,6.39,2.87,0.45,,,,,,,,,
October,,,,,,,,,2.14,15.05,9.58,,,,,,,,,
November,,,,,,,,,2.94,2.71,9.86,,,,,,,,,
December,,,,,,,,10.91,8.49,11.18,13.03,,,,,,,,,
Total,,,,,,,,,,,79.54,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Different obs on each sheet but cannot find either,,,,,,,,,,,,,,,,,,,,
The observer in 1910 William Livermore was working at the Sanatorium in 1911 but no 1910 street or medical directory lists him there in 1910,,,,,,,,,,,,,,,,,,,,
Met Office website has this listed as one station,,,,,,,,,,,,,,,,,,,,
Altitude has a question mark after it,,,,,,,,,,,,,,,,,,,,
There are several buildings around the north to south east of the Sanatorium which are around the elevation so middle location given,,,,,,,,,,,,,,,,,,,,
