"SOUTH BRENT (DIDWORTHY SANATORIUM)",,,,,,,,,,,,
Grid ref,SX686621,Long,-3.851938,Lat,50.443992,,,,,,,
Station no,1678/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.72,6.65,1.92,3.76,9.29,8.42,8.71,10.65,14.15,8.27,,
February,6.64,0.92,3.28,7.75,5.69,0.94,9.23,7.44,0.90,8.37,,
March,7.13,7.55,1.64,5.52,2.65,2.61,10.23,4.30,8.55,5.86,,
April,3.95,5.68,4.00,1.69,2.86,1.71,0.94,2.53,7.13,5.53,,
May,3.30,3.53,6.41,4.94,7.21,2.07,3.90,6.25,2.26,2.98,,
June,1.99,3.06,3.51,6.07,5.96,4.20,2.95,5.39,3.08,2.92,,
July,2.25,2.79,6.95,7.58,2.24,7.14,7.94,5.83,2.24,7.67,,
August,12.01,8.00,4.58,4.96,0.73,6.08,6.51,9.40,3.00,6.46,,
September,7.22,6.44,6.12,10.00,2.64,13.26,8.42,10.50,0.46,10.27,,
October,1.85,9.44,4.97,8.38,4.27,3.19,7.05,8.23,6.89,13.47,,
November,11.99,7.41,4.68,13.86,8.24,2.40,3.59,5.53,12.10,11.56,,
December,7.66,5.56,1.28,7.83,12.17,9.84,7.44,8.25,16.91,8.35,,
Total,73.71,67.03,49.34,82.34,63.95,61.86,76.91,84.30,77.67,91.71,,
Calc annual,73.71,67.03,49.34,82.34,63.95,61.86,76.91,84.30,77.67,91.71,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
