"PEEBLES SWINTON BANK",,,,,,,,,,,,
Grid ref,NT250418,Long,-3.193777,Lat,55.663898,,,,,,,
Station no,RR1280,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.65,2.62,1.77,4.17,2.46,1.23,3.93,1.72,3.22,2.25,,
February,4.04,1.32,1.05,4.98,2.87,1.79,1.23,1.85,2.22,2.23,,
March,1.11,1.87,1.66,4.58,1.76,4.52,1.95,2.05,6.03,4.69,,
April,2.22,1.95,2.24,1.54,2.99,2.11,0.42,1.78,1.41,2.63,,
May,1.39,1.82,2.92,1.76,2.66,1.48,5.44,2.96,2.46,2.92,,
June,3.95,2.32,1.69,0.98,2.94,0.95,1.63,3.73,1.44,1.55,,
July,3.60,0.47,2.92,3.08,2.22,1.98,2.30,3.08,1.77,3.99,,
August,3.56,5.85,1.28,5.04,3.50,2.84,6.84,3.52,2.27,1.96,,
September,2.30,1.39,2.07,2.21,1.29,2.17,0.64,1.30,4.22,2.68,,
October,4.79,2.95,1.40,9.22,0.89,2.79,6.08,7.65,1.22,4.88,,
November,4.32,4.55,2.36,2.66,2.29,3.40,4.07,2.17,1.82,0.96,,
December,5.13,6.40,3.98,2.27,3.32,1.47,2.07,4.01,0.78,2.69,,
Total,41.06,33.51,25.34,42.49,29.19,26.73,36.60,35.82,28.86,33.43,,
Calc annual,41.06,33.51,25.34,42.49,29.19,26.73,36.60,35.82,28.86,33.43,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
