"PEEBLES SWINTON BANK 8"" gauge",,,,,,,,,,,,,,,,,,,,
Grid ref,NT250418,Long,-3.193777,Lat,55.663898,Elevation,600,ft,,,,,,,,,,,,
Station no,RR1280,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,4.17,2.32,1.42,3.83,1.96,3.11,2.15,4.02,1.78,3.18,4.14,,,,,,
February,,,,4.98,2.67,2.17,1.15,1.86,2.51,2.36,4.29,4.13,2.55,1.81,,,,,,
March,,,,4.58,1.63,4.92,1.96,2.12,5.17,4.48,1.58,3.41,3.31,5.28,,,,,,
April,,,,1.54,2.86,2.31,0.47,1.7,1.66,2.62,3.44,3.38,0.66,3.98,,,,,,
May,,,,1.76,2.57,1.51,6.27,2.91,3.18,2.9,1.81,2.06,1.42,3.04,,,,,,
June,,,,0.98,2.86,1.2,1.8,3.47,1.52,1.47,1.26,3.16,5.92,1.74,,,,,,
July,,,,3.08,2.38,2.07,2.53,2.9,1.69,3.95,4.84,0.99,1.74,0.38,,,,,,
August,,,,5.04,3.77,3.08,6.92,3.24,2.03,1.96,5.06,0.6,2.7,1.53,,,,,,
September,,,,2.21,1.38,2.19,0.64,1.19,4.46,2.46,0.92,1.29,4.25,2.31,,,,,,
October,,,,9.22,0.92,2.77,6.33,7.27,1.26,5.07,3.9,3.29,3.44,2.35,,,,,,
November,,,,2.66,2.4,3.38,4.03,1.9,1.9,1.07,4.26,5.02,2.57,3.26,,,,,,
December,,,,2.27,2.5,1.45,2.03,3.17,0.77,2.49,3.58,5.2,4.83,2.17,,,,,,
Total,,,,42.49,28.26,28.47,37.96,33.69,29.26,32.98,38.96,34.31,36.57,31.99,,,,,,
,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_27_pt1-page-123.csv,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_25_pt1-page-199.csv,,,,,,,,,,,,,,,,,,,,
