STRATH ERRICK FARRALINE HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH 566 220,Long,-4.379918,Lat,57.265791,Elevation,700,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,6.8,5.65,11,4.7,2.5,1,5,4,5,3,3,3.5,4.3,4.3,3.5,,4.3,4.3,3.8,2.8,,,,
February,,,,,,,6.5,3.8,6.8,4.8,2,1.4,0.8,1,2.5,1.5,4.1,3.8,1.6,3.8,3,,2.1,3.5,1.7,4,,,,
March,,,,,,,1.5,1.5,3,2,0.6,2,0.7,2.4,4,1.4,7.9,2.2,2.8,3.2,4.3,,6.4,4.5,1.6,1.3,,,,
April,,,,,,,1.7,4.3,1.5,2.8,1.8,1.6,1.3,2.2,2,0.7,2.5,1.3,1.5,3.6,4.5,,1.7,4.9,0.8,0.6,,,,
May,,,,,,,1.9,1.1,1.6,2.8,1.9,0.4,4.5,2.2,2,1.9,2.1,3,2.5,3.1,3.2,,0.8,3.8,3.1,4.7,,,,
June,,,,,,,2.1,2.6,1.2,3,1.2,0.5,5.2,2.2,1.7,2.6,1.7,7.3,2.6,4.2,7.6,,2.3,3.8,1,0.9,,,,
July,,,,,2.1,,2.7,3.4,0.1,0.5,2.4,6.3,2.2,4,3,3.3,1.6,4.3,2.7,3.7,2,,2.3,9.2,3.4,0.5,,,,
August,,,,,3.6,,3.5,2.1,6.8,4.8,2.4,1.7,3.7,3.3,6.1,4.3,2.5,4.2,3.2,2.7,2.1,,2.5,6.3,1.8,1.3,,,,
September,,,,,2.6,,4.1,1.8,1.5,4.1,2.3,3.1,7.5,4,3.2,4.4,3,8.7,5.8,2.8,4.3,,4.2,4.6,2.1,3.8,,,,
October,,,,,6.2,,1.4,4.1,4.7,5.5,3,2.4,5,5,5.2,5.5,2.6,6.8,5.1,3.7,4.3,,4.2,4.9,4.5,3.5,,,,
November,,,,,,,5.3,0.7,3.1,5.3,3,2.4,5.2,2.2,2.6,2.5,2.9,9.1,4.2,3.2,6.2,,2.8,6.6,4.3,1.4,,,,
December,,,,,,,5.1,3,4.8,5,3.2,2.2,4,4.4,0.9,6.3,2.5,5.4,2.9,3.4,3.25,,1.3,3.3,5.3,1.7,,,,
Total,,,,,,,42.6,34.05,46.1,45.3,26.3,25,45.1,36.9,38.2,37.4,36.4,59.6,39.2,41.7,48.25,,34.9,59.7,33.4,26.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886 Deleted Gauge Leaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1864 Total Deleted to much approx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866 Farraline House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881 Deleted Record incorrect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
