"CAMBERLEY (WAY'S END)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,246,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.37,2.24,2.94,1.57,2.44,2.05,3.63,1.75,3.02,1.29,3.23,
February,0.36,0.35,2.44,3.92,0.44,3.55,2.21,4.53,1.82,0.58,0.71,
March,1.53,0.88,2.08,2.87,1.21,1.18,0.42,3.21,1.82,0.02,1.37,
April,3.35,0.50,3.04,2.71,3.33,2.42,3.12,1.81,2.32,1.43,2.20,
May,0.84,1.16,1.03,2.57,3.33,2.68,1.36,1.46,1.81,2.17,2.02,
June,1.34,0.34,1.14,0.43,2.54,,3.03,3.17,1.85,1.48,0.44,
July,5.14,0.26,4.38,1.20,3.82,3.17,2.40,3.99,1.79,2.66,2.50,
August,1.52,1.75,2.46,2.22,2.51,3.84,1.11,3.04,1.77,1.23,3.38,
September,1.78,1.71,1.63,1.57,3.70,3.37,1.59,5.13,1.34,0.14,2.98,
October,1.82,0.94,1.07,5.62,3.54,3.11,2.49,1.11,4.17,3.16,1.33,
November,1.14,1.65,1.32,1.68,2.81,1.89,5.42,3.93,1.81,5.97,4.37,
December,2.01,1.39,3.39,2.50,4.52,3.08,0.35,4.93,2.51,6.10,2.38,
Total,23.20,13.17,26.92,28.86,34.19,30.34,27.13,38.06,26.03,26.23,26.91,
Calc annual,23.20,13.17,26.92,28.86,34.19,30.34,27.13,38.06,26.03,26.23,26.91,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.00,
