CHILHAM (OLD WIVES LEES),,,,,,,,,,,,,,,,,,,,
Grid ref,TR067559,Long,0.96142771,Lat,51.264764,Elevation,331,ft,,,,,,,,,,,,
Station no,RR6892,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,1.53,3.82,1.22,6.95,1.68,3.17,0.2,1.78,,,,,,,,
February,,,,,2.37,0.92,3.03,1.56,1.68,4.21,2.89,1.54,,,,,,,,
March,,,,,0.75,0.81,2.54,2.88,2.85,0.9,0.44,1.88,,,,,,,,
April,,,,,2.32,1.62,2.26,2.64,1.22,2.67,2.49,0.8,,,,,,,,
May,,,,,1.14,1.3,2.63,2.7,3.64,2.92,0.33,0.95,,,,,,,,
June,,,,,2.71,2.01,1.61,1.35,1.5,3.12,2.91,4.02,,,,,,,,
July,,,,,0.88,5.54,0.75,3.08,1.28,4.27,2.65,1.46,,,,,,,,
August,,,,,2.36,2.08,2.64,2.87,3.94,3.7,1.4,4.21,,,,,,,,
September,,,,,3.24,2.13,3.28,1.29,1.22,3.15,3.79,3.32,,,,,,,,
October,,,,,3.63,4.25,1.58,2.84,4.18,0.96,8.2,4.4,,,,,,,,
November,,,,,2.31,6.77,2.79,6.9,5.5,1.26,4.27,3.6,,,,,,,,
December,,,,,2.43,4.06,5.31,2.97,2.57,1.27,3.36,3.71,,,,,,,,
Total,,,,,25.67,35.31,29.64,38.03,31.26,31.6,32.93,31.67,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Obs: John Marten farmer at Old WIves Leese Upper Ensings farm,,,,,,,,,,,,,,,,,,,,
