EYE-NEWBOROUGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF2116106196,Long,-0.21087022,Lat,52.639989,Elevation,8,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,1.62,0.94,3.37,0.87,0.79,0.71,1.64,1.23,2.89,2.34,1.35,2.42,1.3,1.59,2.09,3.41,1.92,1.66,2.35,1.28,1.86,0.8,2.74,1.59,2.92,1.34,2.05,1.77,0.76,1.17,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,2.46,0.67,1.42,1.08,1.09,0.33,2.03,1.04,1.27,0.52,0.87,2.01,3.49,0.59,0.94,2.29,0.71,0.49,1.91,3.07,0.82,1.56,1.35,2.04,0.96,0.94,0.7,2.29,0.22,1.57,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,1.47,2.01,1.53,1.06,1.93,3.27,0.56,1.44,1.92,2.47,2.61,1.38,3.58,1.31,0.54,2.89,1.97,0.53,1.82,1.96,0.62,0.86,0.16,1.78,1.27,0.12,1.5,0.13,1.06,2.42,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,0.72,1.22,0.55,2.16,2.3,1.25,2.4,0.73,0.11,1.77,0.61,0.55,1.24,1.28,1.88,1.86,3.34,0.92,2.43,1.14,1.69,1.2,2.03,1.77,1.14,0.83,2.27,2.42,2.05,0.8,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,2.14,1.09,1.27,2.91,1.49,1.23,2.8,0.72,2.55,2,0.91,2.49,2.49,1.47,2.18,0.29,2.07,0.98,0.96,0.82,3.99,3.61,2.59,0.54,1.01,0.83,3.2,2.27,3.65,1.17,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,0.54,2.89,2.54,1.18,1.2,4.1,0.72,1.77,3.4,1.19,2.74,1.2,2,2.53,0.27,0.85,2.55,0.67,0.87,0.64,1.86,0.09,3.11,3.02,2.33,1.2,0.22,1.4,0.44,2.27,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,2.49,1.16,0.58,2.33,2.78,3.17,2.38,0.14,4.53,0.54,1.42,2.89,1.15,1.49,4.3,3.43,2.9,0.3,3.65,3.19,2.91,2.04,2.53,2.72,2.34,1.96,2.81,3.28,3.98,1.42,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,2.05,3.26,2.41,2.02,2.25,1.95,2.01,1.17,6.42,1.38,1.31,2.27,5.32,4.84,1.28,2.29,1.14,2.72,1.97,1.71,1.58,2.01,0.76,2.93,1.57,0.75,2.73,3.03,2.68,0.6,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,1.96,2.39,1.16,0.66,2.12,2.52,0.84,1.73,1.21,1.93,0.97,0.85,1.11,1.22,4.08,1.4,2.08,1.19,2.06,2.34,1.86,2.4,2.36,3.18,0.5,0.78,4.87,3.9,2.78,2.52,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,0.73,1.18,3.49,3.18,1.06,3.13,1.57,1.39,2.07,3.46,2.24,1.08,1.72,2.7,1.73,0.79,1.11,1.46,0.82,2.78,4.28,2.34,2.23,1.86,3,2.95,0.81,0.53,3.27,1.92,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
