MARKET BOSWORTH OSBASTON HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK425045,Long,-1.373425,Lat,52.636591,Elevation,385,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2505/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,
January,,,,,,1.57,2.94,,,1.14,2.85,1.48,1.35,1.62,1.22,3.15,1.28,1.96,1.07,3.54,3.73,1.51,1.79,2.06,2.53,0.94,3.62,1.11,0.92,1.12,2.01,0.83,4.28,3.78,1.48,2.61,1.35,2.63,2.49,3.34,2.65,2.53,3.38,1.59,,2.7,2.48,2.65,4.03,,,1.23,1.5,1.56,2.54,1.08,3.53,3.9,3.11,4.87,2.68,4.03,3.02,4.4,2.97,2.09,2.24,1.61,4.18,0.95,0.55,2.69,2.11,1.19,1.12,1.7,3.79,1.29,2.23,2.8,5.26,,,,,,,,,,,,,,,,,,,
February,,,,,,3.12,0.56,,,1.51,0.71,1.03,1.12,2.78,1.82,0.33,0.46,2.93,0.94,1.78,4.71,1.3,1.73,0.99,4.09,0.89,2.88,1.03,1.32,0.61,2.05,1.5,1.3,0.91,1.44,3.08,5.38,1.3,1.69,2.77,1.18,0.26,2.15,4,,2.97,2.81,1.61,2.42,,,2.75,0.56,2.65,0.69,2.21,2.56,3.96,0.74,1.19,3.05,3.04,1.05,0.96,2.42,2.17,3.77,1.57,1.26,0.77,4.17,2.99,0.59,1.7,2.38,2.23,0.62,2.39,3.22,0.08,1.82,,,,,,,,,,,,,,,,,,,
March,,,,,,1.12,2.84,,,3.8,1.84,1.48,0.94,0.46,0.72,1.79,2.17,2.83,1.08,1.26,0.94,2.1,1.58,3.67,1.67,3.11,1.73,1.2,3.18,3.36,0.52,1.73,3.08,3.82,2.35,1.15,4.53,1.68,1.16,3.96,2.42,1.28,1.95,1.57,,0.95,0.79,2.64,1.29,,,0.4,2.09,2.71,1.8,0.76,1.6,2.9,0.35,1.78,2.01,3.11,1.77,1.34,0.15,0.77,1.09,5.83,1.07,1.76,0.95,3.64,2.95,1.7,2.19,2.72,1.02,2.45,1.62,1.8,1.36,,,,,,,,,,,,,,,,,,,
April,,,,,,2.57,1.88,,2.29,2.71,1.18,1.9,0.75,0.29,1.73,2.15,0.94,1.56,2.06,2.49,0.93,1.8,2.1,1.31,1.31,1.58,0.55,1.65,3.41,1.31,2.11,0.96,0.27,2.72,1.41,1.03,1.22,1.47,1.98,1.68,4.22,1.15,2.7,1.97,,1.56,1.75,2.01,1.32,,,3.93,3,1.23,3.43,3.52,2.13,2.72,0.04,1.8,2.31,1.93,1.57,1.06,2.71,1.29,1.8,2.51,1.38,2.29,1.78,2.18,2.4,2.32,0.47,1.11,0.9,0.11,0.69,3.01,1.13,,,,,,,,,,,,,,,,,,,
May,,,,,,2.16,5.37,,0.64,3.35,1.74,3.03,1.96,2.08,1.63,0.52,0.57,1.61,3.11,2.97,1.7,0.88,2.57,3.35,1.67,0.4,2.25,3.9,1.83,1.64,2.44,0.98,2.56,2.28,1.82,1.85,2.02,2.84,2.14,1.08,1.99,1.96,1.34,1.59,,5.04,3.03,0.87,0.69,,,2.81,5.36,1.89,0.83,0.63,0.76,2.35,1.64,1.48,0.85,2.8,2.93,2.98,0.68,2.82,2.35,1.76,2.04,2.76,1.62,3.12,2.65,2.01,2.3,3.49,0.51,1.13,1.81,0.37,1.12,,,,,,,,,,,,,,,,,,,
June,,,,,,2.5,1.59,,1.89,2.33,1.35,2.59,2.88,0.95,2.13,0.96,1.5,2.92,1.76,1.39,3.02,1.19,2.9,1.52,0.51,1.24,3.19,2.91,1.37,3.2,1.09,2.24,3.84,1.17,2.35,1.35,1.48,3.12,0.9,1.21,2.9,0.66,0.8,0.68,,0.09,1.95,4.52,3.18,,,2.64,0.83,3.06,1.1,3.58,4.83,0.53,1.64,1.74,1.01,0.96,0.43,2.22,2.2,3.48,3.35,1.59,2.05,0.38,2.12,1.39,1.91,3.28,2.9,2.51,2.64,1.25,4.19,1.01,2.82,,,,,,,,,,,,,,,,,,,
July,,,,,,0.11,3.04,,5.74,1.39,2.64,3.21,2.31,2.72,2.54,3.01,2.4,0.41,1.26,1.24,1.6,4.38,1.53,1.96,2.61,2.16,1.25,3.41,2.98,3.67,2.83,0.59,4.41,1.39,4.57,7.65,1.4,2.14,2.29,3.19,3.74,0.32,3.92,2.78,,2.26,2.45,2.81,1.07,,,4.19,3.2,2.15,1.04,0.48,5.36,3.75,2.87,4.89,3.88,4.74,2.28,1.21,2.64,3.18,3.93,2.93,1.65,4.3,1.99,0.76,0.46,2.43,2.7,0.81,2.22,2.9,5.09,1.13,3.43,,,,,,,,,,,,,,,,,,,
August,,,,,,3.14,2.07,,2.93,3.46,3.21,3.5,1.99,1.87,2.62,2.42,2.41,3.6,4.67,0.64,3.68,1.96,2.89,3.99,3.41,3.41,1.44,2.54,2.36,2.73,3.26,1.69,7.77,0.97,1.84,2.01,2.51,5.38,1.46,2.35,0.92,4.39,4.56,2.16,,2.91,2.65,3.39,2.44,,,3.87,1.53,0.58,3.54,1.48,0.63,0.45,2.59,3.63,0.33,4.8,2.48,1.83,2.62,1.65,7.83,0.34,4.36,2,3.33,6.63,3.21,2.05,4.31,0.61,3.99,3.7,3.13,0.83,3.46,,,,,,,,,,,,,,,,,,,
September,,,,,,3.23,1.47,,0.83,2.37,1.69,1.46,2.32,2.2,0.78,0.47,4.8,2.79,0.63,5.04,0.37,0.79,1.3,2.69,1.49,1.61,1.21,0.73,2.41,2.59,0.7,1.61,1.18,2.15,1.09,1.54,1.29,2,3.92,1.84,2.01,0.74,2.32,3.96,,3.49,1.52,5.08,0.46,,,2.31,2.38,1.14,1.81,4.3,2.85,1.5,1.76,1.2,0.97,0.4,1.23,2.35,4.9,1.63,4.83,1.31,2.64,2.11,3.47,1.36,1.45,1.78,1.63,1.57,2.26,5.21,2.49,0.15,3.66,,,,,,,,,,,,,,,,,,,
October,,,,,,5.75,5.73,,0.35,3.37,1.71,5.44,2.81,2.55,2.64,3.21,2.95,1.52,3,2.47,3.25,1.73,2.17,6.1,1.38,1.17,5.31,4.73,1.08,2.87,2.2,2.31,2.61,3.36,2.09,1.51,2.71,3.47,1.58,2.59,1.52,2.27,0.56,2.9,,2.93,2.4,2.49,3.33,,,0.77,3.53,2.91,1.81,3.99,1.69,2.29,2.36,4.11,3.89,2.81,3.36,2.95,3.54,4.61,1.22,0.39,2.64,5.46,0.88,0.69,3.09,2.56,3.48,1.49,1.23,1.1,2.27,2.18,4.95,,,,,,,,,,,,,,,,,,,
