"OSBASTON HALL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,221064,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.65,2.53,3.38,1.59,,2.70,2.48,2.65,4.03,,,
February,1.18,0.26,2.15,4.00,,2.97,2.81,1.61,2.42,,,
March,2.42,1.28,1.95,1.57,,0.95,0.79,2.64,1.29,,,
April,4.22,1.15,2.70,1.97,,1.56,1.75,2.01,1.32,,,
May,1.99,1.96,1.34,1.59,,5.04,3.03,0.87,0.69,,,
June,2.90,0.66,0.80,0.68,,0.09,1.95,4.52,3.18,,,
July,3.74,0.32,3.92,2.78,,2.26,2.45,2.81,1.07,,,
August,0.92,4.39,4.56,2.16,,2.91,2.65,3.39,2.44,,,
September,2.01,0.74,2.32,3.96,,3.49,1.52,5.08,0.46,,,
October,1.52,2.27,0.56,2.90,,2.93,2.40,2.49,3.33,,,
November,0.85,1.76,1.11,1.80,,2.31,3.96,3.24,3.34,,,
December,2.18,1.98,3.54,3.17,,2.59,0.80,2.58,1.73,,,
Total,26.58,19.30,28.33,28.17,,29.80,26.59,33.89,25.30,,,
Calc annual,26.58,19.30,28.33,28.17,0.00,29.80,26.59,33.89,25.30,0.00,0.00,
Difference,-0.00,0.00,0.00,0.00,NaN,0.00,0.00,0.00,-0.00,NaN,NaN,
