STAPENHILL-BURTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK255219,Long,-1.623277,Lat,52.794068,Elevation,170,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,,,0.39,2.24,2.52,2.14,1.49,2.65,1.99,0.95,1.06,2.27,1.76,1.49,1.39,,,,,,
February,,,,,,,,,,,,3.8,1.99,2.64,1.04,2.22,0.53,0.37,0.24,1.81,0.62,0.13,0.78,2.54,,,,,,
March,,,,,1.51,,,,,,,2.32,1.48,1.06,1.85,0.96,2.38,0.85,2.13,3.38,1.17,1.28,0.69,0.33,,,,,,
April,,,,,1.45,,,,,,,0.8,3.16,1.49,1.49,2.04,1.88,1.17,1.49,3.23,0.95,1.88,0.85,0.58,,,,,,
May,,,,,1.96,,,,,,,1.25,2.28,1.04,1.12,2.26,5.31,1.6,0.49,3.72,2.11,2.56,1.93,2.1,,,,,,
June,,,,,1.47,,,,,,,2.36,5.25,3.55,1.71,3.17,1.64,1,1.53,0.84,2.14,2.85,2.64,0.79,,,,,,
July,,,,,1.5,,,,,,,1.09,2.64,2.06,3.17,0.23,2.88,1.7,5.39,2.38,2.27,2.02,1.75,2.88,,,,,,
August,,,,,2.76,,,,,,,4.27,1.72,1.57,2.66,1.79,1.61,1.57,2.55,3.36,2.55,4.14,2.63,1.91,,,,,,
September,,,,,3.35,,,,,,,1.66,2.07,4.27,1.76,3.3,1.86,1.83,1.19,2.57,1.02,1.52,2.49,2.23,,,,,,
October,,,,,2.46,,,,,,,2.8,4.92,2.15,1.3,4.65,3.64,2.04,0.55,2.65,1.48,4.59,2.52,1.94,,,,,,
November,,,,,2.93,,,,,,,2.28,3.54,3.95,1.04,2.42,1.93,1.43,3.47,0.86,3.25,1.91,1.75,1.27,,,,,,
December,,,,,2.42,,,,,,,2.31,4.73,0.73,2.37,0.68,2.82,1.47,1.87,2.12,0.55,3.49,1.84,2.45,,,,,,
Total,,,,,,,,,,,,25.33,36.02,27.03,21.65,25.21,29.13,17.02,21.85,27.98,20.38,28.13,21.36,20.41,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is in Stapenhill to match the stated altitude. The location may have been Stapenhill House. The 1870s record has a different observer and altitude and is probably another location. NGR +/- 200m.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
