ECCLESHALL-WALTON-HALL-NO-1,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ851283,Long,-2.222703,Lat,52.851988,Elevation,344,ft.,,,,,,,,,,,,
Station no,RR4230,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,1.91,2.37,1.26,4.66,1.63,1.53,1.75,2.53,0.55,4.29,3.74,1.95,3.84,1.34,,,
February,,,,1.65,3.24,0.83,2.21,1.66,1.9,0.54,2.86,1.92,1.26,0.99,1.83,2.78,3.63,,,
March,,,,4.43,1.44,3.55,2.11,1.67,2.95,2.96,0.67,1.51,4.35,4.47,3.09,1.34,3.13,,,
April,,,,1.71,1.63,2.4,1.74,1.83,3.15,2.25,2.22,1.01,0.34,3.16,1,1.3,1.58,,,
May,,,,3.11,1.96,0.73,2.94,4.19,3.18,1.84,3.26,0.57,2.75,2.37,2.55,1.88,2.17,,,
June,,,,1.06,0.66,2.46,1.67,3.7,2.8,3.86,1.22,2.46,5.49,1.2,1.57,1.27,1.7,,,
July,,,,2.87,2.41,1.61,0.7,3.19,2.92,4.52,3.43,0.33,4.47,1.18,4.45,6.52,2.58,,,
August,,,,4.64,4.82,5.12,2.73,3.08,4.11,3.36,5.13,1.68,6.74,2.04,3.09,2.2,1.74,,,
September,,,,4.44,1.81,1.26,1.83,0.86,2.62,2.69,0.28,1.98,1.43,2.28,1.36,0.6,1.86,,,
October,,,,6.03,1.19,1.79,5.29,4,2,4.36,2.68,2.32,3.24,3.51,1.78,2.11,4.53,,,
November,,,,2.91,1.98,3.3,2.91,2.82,2.15,1.16,5.5,2.35,3.12,2.63,3.76,2.95,2.63,,,
December,,,,1.82,2.02,0.7,3.53,2.35,2.36,5.01,5.23,4.73,2.47,1.69,6.97,4.72,3.12,,,
Total,,,,36.58,25.53,25.01,32.32,30.98,31.67,34.3,35.01,21.41,39.95,29.26,33.4,31.51,30.01,,,
,,,,,,,,,,,,,,,,,,,,
NGR is near Walton Hall at the stated altitude,,,,,,,,,,,,,,,,,,,,
