ECCLESHALL-WALTON-HALL-NO-2,,,,,,,,,,
Grid ref,SJ850281,Long,-2.2241787,Lat,52.850188,Elevation,362,ft.,,
Station no,RR4230,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,3.87,1.9,3.8,1.32,,,
February,,,,1.03,1.94,2.76,3.61,,,
March,,,,4.42,3.05,1.33,3.1,,,
April,,,,3.2,0.96,1.29,1.52,,,
May,,,,2.17,2.54,1.87,2.15,,,
June,,,,1.15,1.53,1.27,1.68,,,
July,,,4.3,1.15,4.42,6.5,2.56,,,
August,,,6.39,2.04,3.09,2.16,1.72,,,
September,,,1.34,2.25,1.33,0.58,1.83,,,
October,,,3.17,3.4,1.77,2.1,4.52,,,
November,,,2.93,2.54,3.78,2.9,2.61,,,
December,,,2.29,1.38,6.99,4.77,3.07,,,
Total,,,,28.6,33.3,31.33,29.69,,,
,,,,,,,,,,
NGR is 250 yards from No1 at the stated altitude on the estate,,,,,,,,,,
