REVOCH EAGLESHAM,,,,,,,,,,
Grid ref,NS 56730 50296,Long,-4.28272,Lat,55.724831,Elevation,700,ft,,
Station no,RR8920,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,8,,6.25,5,8.5,4.5,9.13,5.75
February,,,2,,4.12,4.75,5.5,4.63,7.5,5.25
March,,,5,,7.25,2.75,2.5,1.5,6.5,1
April,,,5.2,,1.75,1.5,1.5,6.88,4.5,1.37
May,,,4.5,,2.5,5.25,2,2.75,2.75,1
June,,,4,,5,5.12,1.75,2.25,1.75,2.5
July,,,7,,2.5,2.5,5.75,5.13,0.62,2.5
August,,,4,,2.75,5.13,5.12,4.75,5.5,5
September,,,3.2,,5.5,1.5,7,4.5,2.75,7.25
October,,,12.5,,5.63,5.75,3.25,5.25,9.5,2.5
November,,,3.5,,5.25,3.5,6.13,2.5,2,6.5
December,,,13.7,,4.5,3.75,7.5,4.5,6.75,6.75
Total,,,72.6,,53,46.5,56.5,49.14,59.25,47.37
,,,,,,,,,,
Location from Valuation Rolls,,,,,,,,,,
,,,,,,,,,,
Station no,RR8920,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
