ARDROSSAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 230 425,Long,-4.813779,Lat,55.643996,Elevation,10,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,3.55,,,,,,8.01,5.61,1.81,1.97,0.45,3.14,5.62,6.28,2.31,3.32,2.79,2.28,2.3,4.95,2.62,2.53,0.89,3.53,0.87,1.79,1.04,1.62,3.27
February,,5.09,,,,,,4.62,2.56,2.04,2.96,5.57,2.93,2.9,4.72,3.31,1.11,2.14,1.02,1.84,0.52,0.51,1.17,3.47,6,0.69,1.48,2.26,2.61,1.41
March,,3.13,,,,,,2.83,1.5,3.31,3.06,3.96,2.51,1.24,1.53,2.01,1.59,1.4,2.88,1.47,2,1.86,0.3,1.34,2.4,2.21,3.9,2.58,0.95,2.24
April,,4.61,,,,,,3.66,3.42,1.34,3.78,1.63,2.57,2.03,0.83,1.71,0.96,2.26,1.94,2.51,1.28,0.96,0.45,1.87,1.78,2.23,1.73,1.42,1.39,
May,,0.93,,,,,,2.34,3.08,2.84,1.15,3,1.58,2.79,2.22,1.79,2.38,1.92,3.92,3.1,3.19,1.62,4.41,1.99,1.71,0.18,0.55,1.23,1.15,
June,,2.53,,,,,,4.05,2.69,5.9,2.2,3.41,3.95,2.28,0.38,0.91,1.03,0.78,2.93,1.12,3.92,0.97,1.7,1.26,1.98,1.45,3.03,6.5,1.89,
July,,3.35,,,,,,3.62,0.74,4.37,2.52,2.36,5.17,2.89,3.87,1.73,2.61,2.51,3.63,2.51,3.28,0.76,1.7,3.67,3.22,3.59,4.51,1.43,0.79,
August,,3.55,,,,,,8.15,3.19,5.02,1.41,3.71,3.01,4.5,3.75,3.82,1.66,2.89,1.22,4.48,2.66,4.96,6.65,3.25,2.81,5.07,1.84,3.81,3.36,
September,,2.05,,,,,,1.76,3.63,4.97,3.56,1.76,3.77,2.4,3.28,5.46,4.49,3.51,0.33,1.97,4.08,4.16,2.6,2.4,0.13,0.36,3.93,2.86,2.41,
October,,3.64,,,,,,6.27,6.49,2.15,0.69,2,4.72,3.84,4.17,3.51,2.51,1.43,1.17,3.4,1.93,3.54,3.33,4.81,3.49,2.7,2.95,1.82,1.42,
November,,4.46,,,,,,6.73,1.45,1.48,4.93,4.31,5.24,6.54,2.75,1.89,3.22,2.45,4.5,2.39,5.92,4.28,4,2.19,2.5,3.42,1.26,1.99,4.35,
December,,3.71,,,,,,6.64,1.86,2.36,5.13,4.25,4.03,3.79,4.55,1.76,2.38,2.73,2.76,3.62,0.8,5.54,1.86,4.1,2.71,2.51,4.49,3.54,2.05,
Total,,40.6,,,,,,58.68,36.22,37.59,33.36,36.41,42.62,40.82,38.33,30.21,27.26,26.81,28.58,30.71,34.53,31.78,30.7,31.24,32.26,25.28,31.46,30.48,23.99,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1898 Comment that Total was too low NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872 Total only deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location Low Confidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
