ACCRINGTON WASHINGTON HOUSE,,,,,,,,,,
Grid ref,SD750280,Long,-2.3805716,Lat,53.747767,Elevation,550,ft,,
Station no,RR8885,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,0.62,0.42,4.25,6.32,5.4,2.31,7,1.99,1.74,1.6
February,3.87,4.94,3.06,3.69,3.95,3.71,0.57,1.25,1,2.46
March,3.31,4.68,4.27,1.18,3.23,3,2.91,2.17,2.48,2.75
April,1.63,1.36,5.53,1.92,0.99,1.95,2.67,2.32,1.51,3.1
May,2.73,3.97,2.71,1.06,1.86,1.83,4.12,2,0.89,3.22
June,3.58,2.56,6.33,3.93,0.87,2.99,1.94,0.69,2.28,0.11
July,5.16,5.73,6.39,3.99,4.25,1.74,3.85,1.58,6.21,2.69
August,1.93,5.35,4.59,2.71,2.16,1.93,1.77,1.61,3.67,6.43
September,4.31,1.75,1.44,5.72,2.52,4.5,3.66,4.6,1.02,4.27
October,3.58,2.67,3.73,4.83,2.68,5.56,5.37,2.42,2.24,4.69
November,5.73,4.73,7.8,4.37,1.51,3.35,3.32,2.19,6.61,1.96
December,6.1,6.06,3.99,4.08,6.49,2.64,6.98,2.63,3.07,2.97
Total,42.55,44.22,54.09,43.8,35.91,35.51,44.16,25.45,32.72,36.25
