MILLBUIE (BLACKSTAND),,,,,,,,,,,,
Grid ref,NH716611,Long,-4.151429,Lat,57.621528,,,,,,,
Station no,5769/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,3.33,2.95,3.42,3.49,,
February,,,,,,,2.09,2.31,0.62,2.29,,
March,,,,,,,3.20,1.55,2.06,0.61,,
April,,,,,,,0.93,1.57,3.32,1.67,,
May,,,,,,,1.23,3.50,0.87,0.62,,
June,,,,,,,2.69,1.94,2.09,3.56,,
July,,,,,,-999.00,7.36,2.69,3.25,3.41,,
August,,,,,,5.56,5.79,4.37,1.61,8.53,,
September,,,,,,4.04,1.67,2.52,0.65,2.26,,
October,,,,,,3.24,1.80,2.62,3.25,2.53,,
November,,,,,,1.89,1.97,0.95,3.95,1.78,,
December,,,,,,2.82,4.05,2.46,1.78,2.06,,
Total,,,,,,,36.11,29.43,-999.00,32.81,,
Calc annual,0.00,0.00,0.00,0.00,0.00,17.55,36.11,29.43,26.87,32.81,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-1025.87,0.00,,
