"CILCAIN (NO. 4 RESERVOIR)",,,,,,,,,,,,
Grid ref,SJ154640,Long,-3.266927,Lat,53.166370,,,,,,,
Station no,4274/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.64,3.54,1.28,2.70,2.38,3.70,1.99,3.85,5.27,6.25,,
February,3.31,1.00,2.01,2.89,2.92,0.65,2.55,5.49,1.06,3.08,,
March,5.37,0.69,0.92,1.91,2.04,1.92,1.37,1.78,1.60,1.84,,
April,2.22,1.74,3.24,0.95,1.61,2.35,0.46,1.00,4.91,1.62,,
May,4.24,2.74,2.84,4.29,4.35,0.89,1.57,2.47,2.32,2.09,,
June,1.55,1.68,2.62,3.89,3.34,2.40,1.68,6.43,2.71,1.48,,
July,2.14,1.97,2.94,4.38,0.37,4.82,5.78,4.26,3.35,3.07,,
August,3.78,1.96,2.64,5.93,1.48,8.98,6.34,3.61,1.85,4.42,,
September,2.72,4.36,3.32,2.32,2.72,3.20,8.40,4.91,0.19,5.34,,
October,1.13,5.08,1.59,5.04,2.42,2.68,2.61,2.70,3.72,5.53,,
November,7.48,3.16,2.12,6.51,1.95,1.13,2.57,2.02,5.04,5.92,,
December,3.75,4.94,1.63,3.18,3.17,2.80,2.63,2.75,4.89,3.56,,
Total,40.33,32.86,27.15,43.99,28.75,35.52,37.95,41.27,36.91,44.20,,
Calc annual,40.33,32.86,27.15,43.99,28.75,35.52,37.95,41.27,36.91,44.20,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
