CILCAIN-RES-NO-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ154640,Long,-3.2669268,Lat,53.16637,Elevation,900,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,4274/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.51,2.92,2.69,2.1,2.9,4.31,2.52,3.67,5.52,2.87,,4.22,4.84,3.24,3.47,3.21,1.86,6.58,3.96,0.9,2.64,3.54,1.28,2.7,2.38,3.7,1.99,3.85,5.27,6.25
February,3.17,0.26,3.08,0.34,3,3.12,4.58,0.88,2.58,3.26,,1.6,2.27,1.78,2.25,5.32,1.49,1.6,1.33,5.09,3.31,1,2.01,2.89,2.92,0.65,2.55,5.49,1.06,3.08
March,0.48,1.95,2,2.67,0.75,2.37,3.19,1.09,3.35,3.13,,2.14,0.91,1.63,1.09,1.78,4.69,0.52,2.71,1.62,5.37,0.69,0.92,1.91,2.04,1.92,1.37,1.78,1.6,1.84
April,3.49,4.39,0.81,2.69,2.96,2.07,5.16,0.3,2.58,3.08,,1.59,2.25,1.21,1.78,0.95,4.68,1.94,3.1,-999,2.22,1.74,3.24,0.95,1.61,2.35,0.46,1,4.91,1.62
May,3.61,2.67,1.9,2.33,1.8,1.95,2.57,2.3,2.81,2.78,,4.08,2.98,1.63,3.81,2.6,2.96,0.93,3.15,-999,4.24,2.74,2.84,4.29,4.35,0.89,1.57,2.47,2.32,2.09
June,5.7,0.73,1.55,1.3,4.4,5.57,1.82,4.12,3.14,1.33,,0.72,3.62,2.09,2.64,3.71,2.65,5.35,0.96,-999,1.55,1.68,2.62,3.89,3.34,2.4,1.68,6.43,2.71,1.48
July,1.97,6.08,2.49,1.76,1.98,3.54,2.15,3.87,6.75,3.96,,3.62,2.38,2.25,2.56,2.16,5.74,2.54,2.71,-999,2.14,1.97,2.94,4.38,0.37,4.82,5.78,4.26,3.35,3.07
August,7.55,1.95,1.33,4.49,1.49,1.38,2.58,3.53,1.88,1.03,,3.53,3.84,2.62,1.9,3.68,0.51,4.48,2.66,-999,3.78,1.96,2.64,5.93,1.48,8.98,6.34,3.61,1.85,4.42
September,6.54,3.05,0.64,2.33,5.54,4.73,1.86,1.26,1.09,3.73,,2.87,6.2,5.1,2.08,3.64,2.75,2.32,1.67,-999,2.72,4.36,3.32,2.32,2.72,3.2,8.4,4.91,0.19,5.34
October,1.76,5.8,5.78,4.74,5.25,2.35,3.72,3.91,3.31,4.5,,2.49,4.66,5.21,5.11,1.2,0.61,2.62,4.26,-999,1.13,5.08,1.59,5.04,2.42,2.68,2.61,2.7,3.72,5.53
November,5.44,2.73,2.63,2.22,5.73,3.62,1.35,4.25,5,6.45,,1.25,3.37,5.95,0.45,3.45,4.56,2.4,4.34,-999,7.48,3.16,2.12,6.51,1.95,1.13,2.57,2.02,5.04,5.92
December,2.31,1.48,0.96,5.67,3.38,5.15,3.53,3.2,2.28,2.07,,4.14,1.52,2.47,2.08,4.14,3.21,3.76,2.8,-999,3.75,4.94,1.63,3.18,3.17,2.8,2.63,2.75,4.89,3.56
Total,45.53,34.01,25.86,32.64,39.18,40.16,35.03,32.38,40.29,38.19,,32.25,38.84,35.18,29.22,35.84,35.71,35.04,33.65,37.71,40.33,32.86,27.15,43.99,28.75,35.52,37.95,41.27,36.91,44.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is from 1950s record and is beside a reservoir near Cilcain. Altitudes do not match, location would need to be 300m NE to match altitude",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There are some random duplicated readings between the gauges at the two reservoirs, which are considered to be coincidental",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
