STOKE-BARLASTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ897391,Long,-2.154741,Lat,52.949181,Elevation,520,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,2.34,3.53,1.95,3.72,1.84,1.73,5.72,2.68,2.92,3.69,1.93,4.28,3.15,1.21,0.42,0.65,2.43,3.27,,,,,,
February,,,,,,0.36,2.2,1.54,2.01,2.29,1.33,3.09,3.94,1.19,2.81,1.11,3.36,3.2,1.48,4.4,2.43,4.59,2.57,2.2,,,,,,
March,,,,,,1.96,1.92,2.07,2.72,1.51,1.56,1.3,2.85,3.06,1.59,0.81,3.52,2.54,0.96,1.09,1.86,2.13,2.65,0.89,,,,,,
April,,,,,,1,1.2,4.22,2.01,2.78,1.34,3.52,3.18,0.9,1.49,0.51,4.02,3.08,1.91,1.95,1.54,1.25,4.28,1.52,,,,,,
May,,,,,,4.06,1.2,1.4,1.24,4.21,1.37,1.82,2.96,2.27,1.44,1.82,0.87,4.02,5.2,2.43,2.93,1.94,1.62,1,,,,,,
June,,,,,,0.7,4.87,1.83,0.62,1.32,0.73,2.98,5.29,2.3,0.81,3.18,2.46,2.24,3.83,5.9,3.57,2.95,5.59,3.59,,,,,,
July,,,,,,0.43,2.4,3.72,0.17,0.86,1.36,4.26,5.12,3.32,1.69,6.75,3.34,4.52,1.7,4.45,6.07,2.27,4.01,2.22,,,,,,
August,,,,,,5.59,5.59,1.73,3.67,2.39,1.77,3.11,4.27,2.94,3.66,2.69,2.62,5.67,6.49,6.38,1.55,6.07,3.69,2.8,,,,,,
September,,,,,,0.35,5.8,2.75,2.41,6.32,1.76,4.84,3.74,2.35,3.36,3.79,4.79,2.75,3.05,2.59,4.14,0.74,2.56,5.1,,,,,,
October,,,,,,4.36,2.96,3.63,3.1,2.09,5.26,4.4,5.4,3.6,2.83,4.65,1.85,3.17,3.64,1.62,3.71,4.09,5.03,3.67,,,,,,
November,,,,,,2.34,3.65,1.35,2.26,3.07,2.47,1.2,3.18,2.26,4.43,3.56,3.8,2.98,2.65,1.21,3.32,3.53,6.16,,,,,,,
December,,,,,,1.17,2,3.6,7.27,3.59,2.49,1.62,4.38,0.72,3.27,1.29,4.44,3.64,2.44,1.05,5.1,3.11,5.86,,,,,,,
Total,,,,,,,36.13,31.37,29.43,34.15,23.28,33.87,50.03,27.59,30.3,33.85,37,42.09,36.5,34.28,36.64,33.32,46.45,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is The Beeches where a William Scott, the name of the observer, lived. Altitudes match.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
