SHERSTON-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,ST853858,Long,-2.2134944,Lat,51.570875,Elevation,375,ft,,,,,,,,,,,,
Station no,1498/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,1.65,2.66,0.88,3.77,4.54,3.28,5.96,2.91,3.79,3.5,5.38,1.55,1.99,,,,,
February,,,3.54,0.23,2.85,2.12,4.78,1.11,2.16,2.12,3.49,0.53,1.62,0.72,2.78,,,,,
March,,,3.83,2.34,0.79,2.39,3.85,0.23,1.79,2.48,3.19,2.75,1.35,0.25,0.78,,,,,
April,,,1.38,1.97,4.91,2.79,3.23,0.06,3.43,1.6,1.64,1.12,0.82,1.61,1.04,,,,,
May,,,3.02,1.16,0.85,0.39,2.01,2.23,1.14,2.59,1.88,4.55,2.87,,2.48,,,,,
June,,,1.82,1.83,3.34,1.87,1.54,1.51,2.1,0.45,2.16,0.17,2.26,2.5,,,,,,
July,,,2.34,1.47,0.71,5.52,3.22,1.88,4.96,4.37,1.77,3.02,1.58,2.2,,,,,,
August,,,1.01,2.38,2.07,0.3,0.61,2.68,2.17,0.16,3.75,4.47,3.42,,,,,,,
September,,,4.58,2,5.57,4,2.25,2.98,0.97,1.55,0.6,2.01,1.7,,1.83,,,,,
October,,,2.92,1.78,5.81,1.55,3.39,5.09,3.46,4.08,1.96,4.45,3.16,4.2,2.83,,,,,
November,,,0.82,1.41,6.39,3.58,1.7,3.41,6.11,7.62,2.08,1.54,1.71,5.07,0.42,,,,,
December,,,0.71,6.51,3.88,3.37,1.6,3.61,2.1,1.43,2.44,4.07,1.28,1.73,4.6,,,,,
Total,,,27.62,25.74,38.05,31.65,32.72,28.07,36.35,31.36,28.75,32.18,27.15,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1944 May Aug Sep estimated,,,,,,,,,,,,,,,,,,,,
1945 Jun Jul Aug estimated,,,,,,,,,,,,,,,,,,,,
