HARESFIELD COURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO810100,Long,-2.2761,Lat,51.7887,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,2.7,3.18,0.63,2.82,0.43,3.85,3.38,1.78,1.08,3.55,3.3,0.66,4.72,1.42,0.96,1.05,2.61,1,3.57,5.77,0.84,3.75,2.11,1.21,2.92,4.4,3.94,3.2,3.85,1.77,4.29,2.95,3.88,4.18,5.51,0.87,5.49,1.89,3.96,3.24,2.67,0.85,3.96,3.94,3.94,5.54,2.6,3.06,2.12,6.23,2.39,1.79,3.28,1.88,4.1,1.12,0.42,3.28,1.85,0.73,1.4,2.45,3.49,2.38,2.03,5.57,3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,2.63,0.23,0.33,3,1.25,3.54,6.06,1.23,1.03,1.52,4.05,0.72,1.55,1.41,0.96,0.58,3.59,1.51,2.75,1.52,3.61,5.21,4.91,1.36,1.69,3.46,1.08,0.33,3.9,6.34,0.43,4.42,2.21,3.79,2.96,0.9,0.82,2.18,0.23,4.51,0.62,2.94,2.74,4.12,0.81,1.28,2.17,2.88,0.72,1.33,0.79,2.26,1.94,1.32,1.13,1.28,5.55,3.8,0.62,1.36,3.1,1.26,0.64,3.21,3.84,0.15,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,1.86,2.13,2.62,3.42,0.59,0.65,1.21,2.32,1.32,3.67,1.56,3.62,1.47,0.74,3.28,3.42,0.73,2.25,4.54,4.11,4.01,1.33,4.25,3.41,1.65,5.85,3.32,1.92,2.94,2.36,1.13,0.48,0.24,3.27,3.24,0.28,2.61,0.44,1.88,2.78,2.38,0.65,2.54,3.09,0.13,1.63,1.87,3.07,2.53,1.21,0.5,1.27,1.06,6.53,1.27,1.32,1.89,3.61,2.61,0.75,2.71,1.38,0.4,1.99,1,2.44,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,2.41,2.62,0.83,1.62,2.01,2.7,1.15,2.64,1.82,2.04,1.17,2.65,0.67,3.57,2.36,1.99,2.01,1.09,0.2,3.92,1.43,1.02,1.22,1.8,3.04,2.25,4.31,1.26,3.58,2.66,2.94,2.18,4.01,1.23,1.46,0.85,2.61,2.83,3.32,1.08,2.23,5.12,2.44,2.87,0.09,3.34,1.92,1.02,1.75,0.51,1.22,1.15,2.57,2.67,2.97,2.14,2.24,3.34,1.96,2.61,0.25,0.79,2.11,0.13,0.73,2.98,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,1.98,0.46,0.34,1.27,3.63,1.99,2.32,1.21,2.43,4.77,2.09,0.51,2.17,1.91,1.51,1.19,1.07,1.05,2.85,2.37,1.67,2.93,2.96,3.38,1.68,0.67,1.88,1.59,0.59,2.16,6.9,3.71,2.68,1.1,0.98,2.05,3.1,3.83,6.59,1.97,1.3,1.4,0.74,1.89,2.21,1.01,2.3,1.69,3.47,3.17,1.59,2.62,4.04,2.01,4.55,2.53,2.4,3.4,3.38,2.44,2.29,4.66,0.43,1.6,1.91,0.87,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,1.81,0.82,2.42,2.33,1.6,1.52,1.89,2.38,3.25,4.37,1,4.07,3.01,3.03,0.67,2.35,3.23,2.36,6.05,0.76,3.62,1.4,2.36,3.09,0.85,1.7,3.03,0.24,0.87,0.41,2.58,0,2.07,3.42,2.88,1.45,0.81,4.16,1.64,2.25,1.25,4.22,3.66,2.13,0.86,2.17,0.63,1.54,0.29,2.42,3.11,3.57,3.21,1.35,2.36,0.63,3.32,0.94,3.05,2.06,4.89,3.39,2.16,1.21,4.72,2.19,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,2.75,2.8,0.75,1.19,0.85,0.82,2.12,1.72,0.83,2.79,2.82,1.02,0.86,2.86,1.72,2.07,2.2,0.09,5.5,0.83,4.98,3.96,1.94,2.46,3.07,4.87,4.17,0.62,5.4,1.64,5.72,3.93,2.77,4.89,2.54,2.32,2.91,4.23,2.78,1.76,2.26,0.57,6.01,3.37,3.04,5.65,4.16,2.72,1.77,1.19,2.54,1.77,0.68,2.01,0.7,1.31,3.52,0.8,0.64,2.59,2.51,0.23,3.14,3.34,2.39,1.78,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,2.62,3.01,1.96,4.05,4.42,2.05,2.97,1.91,3.22,3.44,2.57,4.73,1.19,1.74,3.37,1.97,5.5,1.53,7.85,1.02,1.83,2.79,4.73,6.39,1.7,2.56,1.45,2.81,4.13,2,3.52,2.93,2.15,5.1,2.55,2.22,2.88,5.24,3.06,0.68,1.82,1.88,0.27,0.64,2.8,2.68,0.08,4.05,4.37,2.24,2.99,2.14,5.75,0.67,4.08,1.67,3.34,4.6,3.17,3.29,3.44,0.7,3.95,4.22,2.26,3.19,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,2.86,0.91,5.33,2.43,0.53,1.21,0.47,1.78,1.92,2.8,2.01,1.94,0.54,0.51,2.57,3.03,0.51,1.19,0.95,2.6,1.07,1.66,1.31,3.51,7.79,1.88,2.85,2.13,1.95,2.51,4.79,3.73,0.69,6.05,1.1,0.24,3.48,2.3,3.2,2.43,2.06,4.81,2.74,2.72,2.17,0.9,0.65,0.94,1.98,2.36,3.16,2.19,4.08,1.93,2.84,1.62,5.16,2.59,1.18,2.98,2.69,0.65,2.9,3.08,4.66,0.2,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,4,3.17,3.47,1.43,4.42,1.87,3.22,1.22,2.68,7.13,0.52,1.51,4.96,6.1,2.06,3.9,3.34,2.7,3.79,3.56,2.14,4.13,5.98,4.09,1.37,2.79,2.26,1.7,1.48,6.24,4.97,3.13,3.52,2.22,6.29,5.31,2.16,0.59,5.17,4.14,2.03,4.66,1.41,2.9,3.67,2.65,3.71,2.26,2.45,2.06,5.01,3.38,0.65,0.34,3.14,5.75,0.74,0.46,3.39,2.04,2.51,1.23,1.36,1.44,2.15,1.96,6.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,4.23,4.83,0.83,1.62,2.63,2.63,1.9,1.12,2.2,1.36,1.42,3.1,2.95,2.11,0.98,1.1,3.56,3.31,1.63,2.96,3.89,1.92,3.4,0.69,2.61,1.7,1.13,2.36,1.46,2.02,3,1.8,7.67,2.39,3.48,10.45,4.3,5.26,2.19,0.7,1.83,5.55,2.76,1.62,3.3,4.95,7.2,2.45,1.6,1.43,5.42,0.43,4.8,1.94,1.17,2.72,5.76,6.83,2.82,0.85,5.64,3.47,0.69,1.66,2.89,3.27,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,2.69,2.15,2.97,3.91,2.84,2.14,6.01,4.76,1.94,1.88,1.99,0.75,1.23,4.74,2.02,4.28,4.54,6.37,4.28,1.14,7.14,5.51,3.36,0.92,2.7,3.79,3.23,1.39,5.03,2.79,4.92,3.16,0.68,3.56,2.79,8.65,3.55,1.63,1.61,0.38,6.89,3.7,3.98,2.32,3.53,1.91,1.22,1.97,3.18,1.52,2.29,4.64,2.89,1.79,4.34,1.27,1.8,2.73,1.99,1.09,2.19,2.49,3.75,2.62,3.23,5.4,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,32.54,26.31,22.48,29.09,25.2,24.97,32.7,24.07,23.72,39.32,24.5,25.28,25.32,30.14,22.46,26.93,32.89,24.45,43.96,30.56,36.23,35.61,38.53,32.31,31.07,35.92,32.65,19.55,35.18,32.9,45.19,32.42,32.57,41.2,35.78,35.59,34.72,34.58,35.63,25.92,27.34,36.35,33.25,31.61,26.55,33.71,28.51,27.65,26.23,25.67,31.01,27.21,34.95,24.44,32.65,23.36,36.14,36.38,26.66,22.79,33.62,22.7,25.02,26.88,31.81,30,35.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
