"HARESFIELD COURT",,,,,,,,,,,,
Grid ref,SO810090,Long,-2.276806,Lat,51.779339,,,,,,,
Station no,2163,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.28,1.85,0.73,1.40,2.45,3.49,2.38,2.03,5.57,3.76,,
February,3.80,0.62,1.36,3.10,1.26,0.64,3.21,3.84,0.15,2.23,,
March,3.61,2.61,0.75,2.71,1.38,0.40,1.99,1.00,2.44,1.46,,
April,3.34,1.96,2.61,0.25,0.79,2.11,0.13,0.73,2.98,0.92,,
May,3.40,3.38,2.44,2.29,4.66,0.43,1.60,1.91,0.87,1.61,,
June,0.94,3.05,2.06,4.89,3.39,2.16,1.21,4.72,2.19,1.88,,
July,0.80,0.64,2.59,2.51,0.23,3.14,3.34,2.39,1.78,3.28,,
August,4.60,3.17,3.29,3.44,0.70,3.95,4.22,2.26,3.19,3.64,,
September,2.59,1.18,2.98,2.69,0.65,2.90,3.08,4.66,0.20,3.80,,
October,0.46,3.39,2.04,2.51,1.23,1.36,1.44,2.15,1.96,6.27,,
November,6.83,2.82,0.85,5.64,3.47,0.69,1.66,2.89,3.27,4.23,,
December,2.73,1.99,1.09,2.19,2.49,3.75,2.62,3.23,5.40,2.39,,
Total,36.38,26.66,22.79,33.62,22.70,25.02,26.88,31.81,30.00,35.47,,
Calc annual,36.38,26.66,22.79,33.62,22.70,25.02,26.88,31.81,30.00,35.47,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
