"MASHAM MOOR HIGH SOUR MINE - 8"" gauge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE143790,Long,-1.782262,Lat,54.206548,Elevation,884,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,,5.79,2.49,1.85,1.53,4.27,3,1.19,1.82,2.52,5.33,4.66,2.43,1.4,5.95,5.7,1.75,5.67,,,
February,,,,,,,,,,,1.53,0.11,3.3,4.1,5.49,0.96,0.65,3.51,2.82,2.57,5.82,1.93,1.72,5.29,5.96,2.47,2.54,,,
March,,,,,,,,,,,2.92,2.11,1.12,2.07,2.55,2.96,3.89,6.48,2.1,2.16,1.29,3.53,1.12,8.07,3.71,3.2,2.75,,,
April,,,,,,,,,,,1.66,4.19,1.91,0.58,3.28,3.02,1.38,2.43,3.85,3.35,2.27,2.53,1.69,2.14,3.86,3.62,0.66,,,
May,,,,,,,,,,0.94,2.72,3.3,3.03,2.29,2.34,0.48,0.69,1.1,2.77,4.24,1.99,1.77,2.91,6.23,4.93,0.75,4.88,,,
June,,,,,,,,,,0.16,3.68,0.9,4.47,2.02,3.72,2.41,3.51,2.99,2.34,1.61,3.11,1.78,1.9,3.03,1.83,1.77,1.5,,,
July,,,,,,,,,,2.96,1.74,3.8,2.09,2.7,3.47,6.29,2.06,0.97,0.73,2.81,1.92,4.75,2.04,3.63,2.68,0.55,1.01,,,
August,,,,,,,,,,4.43,5.23,5.16,3.96,3.17,2.66,2.48,2.17,3.76,3.12,1.61,7.75,1.85,2.5,4.39,4.34,4.94,2.64,,,
September,,,,,,,,,,0.99,1.88,3.05,2.08,1.65,0.86,1.36,7.07,2.76,0.89,5.56,0.97,1.47,1.98,5.63,1.24,2.71,0.5,,,
October,,,,,,,,,,5.05,1.35,3.98,9.61,2.33,6.25,4.08,4.94,2.03,6.01,3.71,5.58,1.45,4.46,11.83,1.33,2.25,8.66,,,
November,,,,,,,,,,1.06,4.52,4.47,1.74,2.09,2.45,5.51,1.68,2.62,3.11,3.18,4.36,4.98,2.93,1.87,3.51,8.38,4.89,,,
December,,,,,,,,,,1.6,1.05,5.36,0.72,3.81,2.83,3.07,4.74,5.92,3.91,3.44,4.21,4.1,4.55,4.66,2.46,1.59,2.51,,,
Total,,,,,,,,,,,34.07,38.92,35.88,28.34,40.17,35.62,33.97,36.39,34.17,39.57,43.93,32.57,29.2,62.72,41.55,33.98,38.21,,,
