"DALBEATTIE, KIRKCUDBRIGHT",,,,,,,,,,,,,,,,,,,,
Grid ref,NX832613,Long,-3.8244266,Lat,54.932662,Elevation,49,ft,,,,,,,,,,,,
Station no,RR3086,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,3.75,8.43,4.97,5.32,7.42,5.12,4.72,10.33,7.6,5.78,6.69,3.02,10.62,4.42,2.55
February,,,,,,2.87,3.65,3.18,6.05,5.99,3.61,4.75,5.42,1.26,2.68,1.65,5.8,3.16,3.57,2.57
March,,,,,,1.63,4.13,2.34,6.8,1.21,2.56,3.29,4.63,3.68,2.48,1.93,3.46,3.44,1.38,3.53
April,,,,,,0.52,1.36,4.58,3.91,2.35,1.51,4.4,1.52,0.23,3.05,1.21,2.45,2.73,4.08,2.01
May,,,,,,5.56,1.73,2.39,4.38,1.87,5.22,0.85,4.4,2.45,1.05,2.25,0.88,4.27,4.45,1.68
June,,,,,,0.66,2.69,2.06,0.78,1.2,1.75,1.8,7.12,1.79,1.38,3.81,4.68,4.05,2.85,5.75
July,,,,,,3.31,2.02,4.6,0.71,1.95,1.17,4.7,3.46,5.82,3,1.88,2.39,4.68,0.25,4.8
August,,,,,,4.29,6.01,4.06,5.12,1.09,0.96,3.65,4.47,5.85,6.13,1.85,3.99,5.91,5.08,4.93
September,,,,,,1.06,6.88,3.26,2.96,9.32,4.04,2.59,5.61,4.27,5.12,6.68,4.32,2.97,3.77,5.2
October,,,,,,6.37,3.59,5.73,6.88,1.72,6.53,4.98,4.96,6.19,11.3,5.72,5.5,7.74,3.73,1.98
November,,,,,,4.66,5.33,1.18,3.87,4.98,3.11,4.79,5.73,2.67,5.3,5.63,3.82,10.13,1.69,1.21
December,,,,,,4.8,5.34,2.81,10.42,7.79,1.99,5.49,9.39,2.05,2.63,4.07,9.17,5.67,2.14,3.68
Total,,,,,,39.48,51.16,41.16,57.2,46.89,37.57,46.01,67.04,43.86,49.9,43.37,49.48,65.37,37.41,39.89
,,,,,,,,,,,,,,,,,,,,
"Observer was Bank Agent of the Union Bank, Dalbeattie.",,,,,,,,,,,,,,,,,,,,
NGR for the old bank at corner of Station Road and John Street,,,,,,,,,,,,,,,,,,,,
