UCKFIELD-FAIRWARP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ467278,Long,0.090696553,Lat,51.030849,Elevation,475,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,1.83,3.19,3.99,4.61,3.21,5.75,1.56,4.32,3.09,3.41,2.62,3.31,1.36,5.28,7.23,4.49,5.26,2.51,3.36,3.1,5.71,2.83,2.34,2.96,,,,
February,,,,5.07,1.17,4.54,3.35,4.94,1.88,1.08,1.55,2.83,0.73,2.87,0.29,5.31,2.48,6,1.15,1.47,2.75,3.35,0.81,1.77,1.22,2.29,3.74,,,,
March,,,,2.76,2.05,1.14,0.67,5.15,2.15,0.05,1.58,0.7,1.72,3.01,3.47,0.76,1.68,4.34,0.69,1.68,3.49,3.26,4.03,0.44,0.09,2.04,1.71,,,,
April,,,,3.23,3.73,3.45,4.82,2.39,3.09,1.26,2.49,4.23,3.02,1.05,2.96,4,2.65,3.42,0.57,3.27,1.8,1.53,1.33,1.67,1.47,1.3,2.37,,,,
May,,,,4.08,5.06,3.41,2.5,1.55,1.76,2.59,3,2.9,3.21,1.59,0.62,1.9,0.4,3.06,2.89,1.72,1.6,2.21,3.62,2.59,1.25,2.58,2.57,,,,
June,,,,0.45,2.44,0.16,3.56,5.57,3.76,2.02,1.11,2.06,1.2,2.19,1.53,2.57,4.11,2.07,1.04,1.79,0.19,1.96,0.2,1.97,1.77,1.91,4.04,,,,
July,,,,3.38,5.21,4.19,1.93,2.4,2.13,1.57,2.96,3.11,3.56,2,1.68,0.86,4.7,1.09,2.46,3.67,3.69,4.61,2.69,2.42,2.8,6.01,2.06,,,,
August,,,,3.46,4.23,2.4,2.32,4.54,2.37,3.42,3.95,3.3,0.7,1.83,2.03,5.1,0.69,2.73,1.85,3.15,0.02,3.87,3.68,1.82,2.61,2.61,7.64,,,,
September,,,,2.33,3.44,2.97,0.71,4.71,0.7,0.84,3.6,2.91,2.98,3.9,1.8,6.14,2.75,2.41,2.94,0.54,1.72,0.53,2.45,2.71,3.04,2.65,4.08,,,,
October,,,,7.26,5.6,4.22,2.92,2.7,7.98,4.59,2.37,0.71,8.39,2.48,2.44,4.6,2.3,3.04,4.24,7.13,4.44,1.68,3.85,3.4,5.37,3.4,1.17,,,,
November,,,,2.71,4.02,3.97,7.65,3.46,4.94,9.99,7.24,4.58,1.88,1.41,4.41,9.01,6.2,1.87,3.24,7.23,7.93,4,1.98,1.6,5.5,0.33,5.98,,,,
December,,,,4.19,5.55,4.48,0.71,5.12,4.58,7.18,3.37,0.76,0.96,0.92,8.69,4.76,3.92,4.74,3.64,1.8,2.45,2.17,3.82,2.54,2.33,4.86,3.77,,,,
Total,,,,40.75,45.69,38.92,35.75,45.74,41.09,36.15,37.54,31.18,31.76,25.87,33.23,46.37,37.16,42,29.2,38.71,32.59,32.53,31.56,28.64,30.28,32.32,42.09,,,,
