"GLEN GARRY (INCHALGGAN) NEW SITE",,,,,,,,,,,,
Grid ref,NH174016,Long,-5.013562,Lat,57.069121,,,,,,,
Station no,5709/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,3.33,4.84,,
February,,,,,,,,,5.05,5.42,,
March,,,,,,,,,5.94,1.04,,
April,,,,,,,,,4.63,6.91,,
May,,,,,,,,,2.06,2.32,,
June,,,,,,,,,5.04,2.30,,
July,,,,,,,,,6.28,3.38,,
August,,,,,,,,3.94,4.63,5.21,,
September,,,,,,,,4.79,2.52,3.73,,
October,,,,,,,,9.51,8.83,1.40,,
November,,,,,,,,2.94,9.97,6.63,,
December,,,,,,,,4.99,9.84,9.44,,
Total,,,,,,,,,68.12,52.62,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.17,68.12,52.62,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
