INCHLAGGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH178017,Long,-5.007047,Lat,57.070177,Elevation,370,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5709/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,7.62,11.66,6.08,4.45,5.62,8.61,8.14,17.78,2.05,,4.5,13.37,14.64,9.4,,,,,,,,
February,,,,,,,,,,4.18,6.73,11.79,4.85,7.03,8.95,5.28,8.16,1.6,,5.36,8.67,5.89,6.7,,,,,,,,
March,,,,,,,,,5.51,0.86,5.44,3.47,7.54,12.13,4.94,5.14,2.13,3.37,,4.19,6.77,6.85,1.7,,,,,,,,
April,,,,,,,,,3.11,3.37,7.8,4.78,7.76,5.05,7.61,6.84,4.5,3.12,,5.18,2.2,1.39,0.3,,,,,,,,
May,,,,,,,,,4.1,3.78,6.32,3.32,3.8,4.16,3.2,0.91,7.79,2.27,,1.35,3.72,3.28,5.8,,,,,,,,
June,,,,,,,,,4.11,0.9,1.33,3.42,4.37,6.48,2.29,1.27,4.31,2.81,,2.29,1.25,1.6,0.56,,,,,,,,
July,,,,,,,,,2.7,3.83,5.13,3.62,3.37,1.08,2.81,4.26,3.89,1.87,,2.77,3.47,3.1,2,,,,,,,,
August,,,,,,,,,4.48,3.97,6.5,4.76,3.71,1.86,5.18,2.75,3.55,4.53,,3.3,3.35,4.24,1.92,,,,,,,,
September,,,,,,,,,6.87,2.82,1.98,6.48,4.57,2.35,3.42,3.12,2.19,6.59,,5.78,2.36,5.8,2.28,,,,,,,,
October,,,,,,,,,2.1,10.53,3.97,4.47,8.35,5.58,2.9,2.76,14.9,9.92,,8.38,1.8,9.25,1.08,,,,,,,,
November,,,,,,,,,6.52,5.93,4.28,13.28,9.37,12.75,10.46,2.48,9.58,13.54,,4.98,6.06,1.26,0.63,,,,,,,,
December,,,,,,,,,8.6,5.36,7.09,10.47,21.27,9.37,10.07,6.39,5.59,6.07,,4.48,3.49,11.14,7.98,,,,,,,,
Total,,,,,,,,,,53.15,68.23,75.94,83.41,73.46,70.44,49.34,84.37,57.74,,52.56,56.51,68.44,40.35,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 NP  Hopeless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5709/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
