LAMBETH-BROCKWELL-PARK-OLD-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ315741,Long,-0.10894883,Lat,51.450623,Elevation,144,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,1.23,4.05,0.98,1.32,1.02,1.88,1.35,3.92,3.76,0.42,3.51,1.01,1.07,2.48,2.21,1.97,2.04,2.3,1.43,3.26,,,,,,
February,,,,,,0.67,1.83,1.37,1.45,0.68,2.95,1.41,1.83,1.29,2.18,2.98,3.31,0.62,0.78,1.8,0.5,0.19,2.01,3.46,0.57,,,,,,
March,,,,,,3.99,1.14,0.97,2.63,3.35,1.06,1.88,2.42,2.31,3.99,0.72,3.86,1.37,0.53,2.85,1.22,1.04,1.58,2.53,0.54,,,,,,
April,,,,,,1.85,0.82,4.06,2.57,1.66,2.23,1.92,0.07,2.59,0.88,1.28,1.08,1.64,2.36,1.89,2.37,1.11,2.9,1.39,3.44,,,,,,
May,,,,,,0.95,1.62,2.1,2.06,1.43,2.38,2.07,1.19,1.35,1.57,2.95,2.1,2.12,1.86,0.12,0.69,2.16,0.88,2.16,2.77,,,,,,
June,,,,,,6.07,3.62,3.02,3.17,4.21,2.88,2.44,2.56,0.37,2.35,0.64,2.29,1.78,0.76,1.41,1.63,0.2,1.48,0.5,2.39,,,,,,
July,,,,,1.77,0.87,0.65,1.2,4.18,3.79,3.1,0.58,1.6,1.76,1.48,3.07,1.09,3.83,7.38,2.6,3.3,0.05,4.24,3.1,3.47,,,,,,
August,,,,,1.83,3.72,1.01,2.33,3.94,1.93,2.91,1.02,5.11,1.78,1.07,2.56,4.42,4.48,1.99,1.83,1.97,0.5,2.67,2.84,3.18,,,,,,
September,,,,,1.31,2.37,2.59,0.66,1.38,2.74,0.79,1.57,2.37,1.4,0.8,1.38,1.15,2.47,4.26,1.05,3.97,2.29,1.92,1.33,3.15,,,,,,
October,,,,,1.98,1.1,3.61,3.64,2.35,4.65,3.03,3.58,2.21,3.62,1.19,2.24,2.83,2.79,1.55,0.7,0.71,1.02,1.23,5.91,4.23,,,,,,
November,,,,,1.81,3.53,4.07,2.9,0.79,1.03,4.24,4.08,2.08,2.18,2.74,2.37,4.07,1.35,2.04,1.15,0.92,2.49,1.31,2.02,3.31,,,,,,
December,,,,,2.52,0.63,2.64,3.17,2.55,2.52,3.13,5.03,3.81,0.97,5.66,4.79,2.29,1.04,2.29,3,2,1.21,3.33,1.84,2.82,,,,,,
Total,,,,,,26.98,27.65,26.4,28.39,29.01,30.58,26.93,29.17,23.38,24.33,28.49,29.5,24.56,28.28,20.61,21.25,14.3,25.85,28.51,33.13,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is Brockwell Park. Altitudes match. A new gauge was installed in 1904 with a few months overlap.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
