MINCHINHAMPTON (THE SHARD),,,,,,,,,,,,
Grid ref,SO868003,Long,-2.192403,Lat,51.701285,,,,,,,
Station no,2152/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.79,,1.07,1.64,,,,,,,,
February,4.46,,2.18,3.53,,,,,,,,
March,4.06,,1.40,2.93,,,,,,,,
April,3.57,,3.14,0.44,,,,,,,,
May,2.86,,3.16,2.09,,,,,,,,
June,2.11,,2.11,6.38,,,,,,,,
July,1.44,,3.98,2.73,,,,,,,,
August,5.67,,3.75,3.85,,,,,,,,
September,3.55,,3.16,,,,,,,,,
October,0.80,,2.45,,,,,,,,,
November,7.79,,1.85,,,,,,,,,
December,3.13,,1.06,,,,,,,,,
Total,43.23,,29.31,,,,,,,,,
Calc annual,43.23,0.00,29.31,23.59,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
