SOMERTON KINGWESTON,,,,,,,,,,,,
Grid ref,ST520309,Long,-2.686528,Lat,51.075406,,,,,,,
Station no,RR6851,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,4.71,1.32,0.84,1.39,,
February,,,,,,,2.11,1.52,1.24,0.66,,
March,,,,,,,1.78,0.74,2.79,3.46,,
April,,,,,,,1.32,4.42,2.25,2.30,,
May,,,,,,,3.77,2.45,1.87,0.98,,
June,,,,,,,2.41,2.36,0.60,3.14,,
July,,,,,,,1.40,2.72,1.92,4.01,,
August,,,,,,,3.41,2.65,2.56,1.89,,
September,,,,,,,0.81,0.68,3.28,2.71,,
October,,,,,,,5.17,5.84,2.38,5.19,,
November,,,,,,,2.43,3.27,1.25,0.82,,
December,,,,,,,2.09,4.46,3.00,4.61,,
Total,,,,,,,31.41,32.43,23.98,31.16,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,31.41,32.43,23.98,31.16,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
