SOMERTON-KINGWESTON,,,,,,,,,,,,,,,,,,,,
Grid ref,ST527308,Long,-2.67582,Lat,51.07474,Elevation,220,ft,,,,,,,,,,,,
Station no,RR6851,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,4.71,1.32,0.84,1.39,3.67,1.04,4.23,5.15,0.93,3.78,1.55,,,
February,,,,,,,2.11,1.52,1.24,0.66,3.79,1.93,2.75,1.09,2.95,4.65,5.95,,,
March,,,,,,,1.78,0.74,2.79,3.46,0.65,2.4,5.07,3.02,6.08,1.21,3.31,,,
April,,,,,,,1.32,4.42,2.25,2.3,2.66,2.08,0.31,3.23,1.43,1.34,1.21,,,
May,,,,,,,3.77,2.45,1.87,0.98,2.49,1.28,1.91,3.01,1.94,3.59,3.14,,,
June,,,,,,,2.41,2.36,0.6,3.14,6.84,2.07,4.13,1.66,2.48,1.22,2.37,,,
July,,,,,,,1.4,2.72,1.92,4.01,2.86,0.11,2.92,0.7,5.01,4.47,1.05,,,
August,,,,,,,3.41,2.65,2.56,1.89,4.21,1.39,6.88,2.37,3.61,2.39,6.42,,,
September,,,,,,,0.81,0.68,3.28,2.71,0.24,1.04,0.83,3.35,2.26,1.56,3.68,,,
October,,,,,,,5.17,5.84,2.38,5.19,4.87,3.08,3.89,3.06,2.64,4.94,6.05,,,
November,,,,,,,2.43,3.27,1.25,0.82,3.88,3,2.3,2.99,3.65,1.93,4.55,,,
December,,,,,,,2.09,4.46,3,4.61,5.28,7.57,4.92,2.73,7.71,7.52,3.6,,,
Total,,,,,,,31.41,32.43,23.98,31.16,41.44,26.99,40.14,32.36,40.69,38.6,42.88,,,
,,,,,,,,,,,,,,,,,,,,
Kingweston Rectory,,,,,,,,,,,,,,,,,,,,
