LIVERPOOL BLUNDELLSANDS HEATH HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ307997,Long,-3.045931,Lat,53.489427,Elevation,33,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,0.99,5,3.09,1.58,0.82,0.68,2.43,3.29,3.36,1.55,3.65,2.56,1.39,0.75,3.7,1.46,3.17,1.09,1.94,2.68,1.03,1,2.03,3.48,4.2,2.19,1.61,2.12,2.19,1.16,4.31,1.02,1.91,1.9,2.89,0.7,3.93,,,,,,,
February,,,,,,,2.84,3.02,1.33,2.58,2.53,3.95,1.54,1.8,2.25,2.9,1.28,0.64,0.76,2.18,0.73,0.15,1.97,3.13,3.32,0.31,1.14,2.2,1.78,1.37,2.97,1.43,1.81,2.05,4.25,1.09,2.15,1.38,2.47,0.85,2.55,1.88,1.23,,,,,,,
March,,,,,,,2.19,2.3,1.62,1.23,2.31,2.69,2.37,1.2,2.37,2.21,1.79,1.59,2.46,2.07,1.97,1.22,1.25,0.38,1.55,2.36,3.36,2.45,0.62,1.78,1.07,1.38,1.75,3.3,1.6,2.87,2.13,1.9,2.68,2.41,0.64,1.08,4.02,,,,,,,
April,,,,,,,2.84,2,1.48,2.49,1.2,1.59,3.01,0.94,1.11,2.09,1.78,0.62,1.22,3.11,1.03,2.31,1.46,0.29,1.72,1.6,1.22,2.53,1.73,2.48,1.13,1.28,1.49,1.72,1.12,1.96,0.79,0.95,2.65,2.53,2.29,1.81,0.17,,,,,,,
May,,,,,,,0.54,2.97,3.33,2.01,2.32,3.14,1.26,0.67,1.31,1.49,4.87,2.43,0.52,2.61,1.98,1.83,2.86,1.47,2.02,0.62,0.27,1.32,3.73,1.96,1.75,0.93,3.23,2.59,1.85,0.28,2.52,2.82,2.48,1.03,2.31,0.82,1.74,,,,,,,
June,,,,,,,1.99,1.5,2.15,4.34,2.74,3.03,3.16,2.33,0.71,1.62,1.33,1.34,1.92,0.7,2.36,4.18,2.92,1.36,2.09,0.79,2.75,4.12,1.97,1.71,2.52,1.49,1.85,2.19,1.2,1.54,1.53,4.98,2.04,2.87,4.13,2.62,2.76,,,,,,,
July,,,,,,,2.29,5.48,0.81,3.41,4.87,2.5,5.38,2.97,4.41,1.57,4.59,1.17,5.09,2.6,2.27,2.88,2.1,3.29,2.33,3.67,2.59,1,0.35,1.71,0.79,1.43,2.05,1.96,0.96,1.94,0.96,2.14,3.7,4.26,3.54,0.42,4.19,,,,,,,
August,,,,,,,3.03,4.32,4.23,5.77,1.58,4.04,3.04,2.2,2.4,2.19,1.58,2.44,3.37,3.8,4.12,7.39,3.4,2.16,3.3,2.9,2.05,4.25,4.18,1.03,6.9,2.56,1.79,3.71,2.95,2.71,2.97,2.99,3.22,2.96,3.26,2.98,5.58,,,,,,,
September,,,,,,,4.14,3.24,3.77,3.25,3.33,1.5,2.44,4.82,2.29,4.27,3.41,3.7,0.92,2.23,1.89,4.16,2.62,3.44,0.84,1.12,4.29,3.61,1.33,3.64,0.8,0.94,0.72,4.41,2.66,1.45,1.38,0.59,3.18,2.52,0.37,4.77,,,,,,,,
October,,,,,,,2.53,3.27,2.74,1.48,4.5,2.75,2.64,5,1.66,6.06,3.99,3.07,2.05,3.02,2.28,2.68,6.38,2.77,3.43,5.61,4.32,1.56,2.64,2.47,3.29,2.87,2.85,6.88,1.96,2.76,4.9,3.99,1.96,3.99,3.47,2.55,,,,,,,,
November,,,,,,2.96,5.21,6.25,2.27,1.11,4.01,2.63,4.81,2.68,1.82,3.2,3.02,1.53,4.79,2.17,6.08,3.88,2.49,1.33,2.52,2.48,1.65,4.34,2.97,1.25,3.69,3.35,1.62,2.9,1.7,3.91,1.94,2.68,2.5,1.26,4.89,2.11,,,,,,,,
December,,,,,,1,4.66,3.79,2.13,1.97,5.63,2.96,3.81,1.64,3.06,1.91,4.82,2.22,1.5,3.41,0.73,5.15,1.9,3.48,2.64,2.29,4.08,2.99,1.86,3.17,3.01,3.31,2.05,1.58,2.85,0.38,2.89,2.47,2.04,5.81,2.61,3.72,,,,,,,,
Total,,,,,,,33.25,43.14,28.95,31.22,35.84,31.46,35.89,29.54,26.75,31.06,36.11,23.31,25.99,28.65,29.14,37.29,32.52,24.19,27.7,26.43,28.75,31.37,25.19,26.05,32.12,23.16,22.82,35.41,25.29,22.05,28.47,27.91,30.83,32.39,32.95,25.46,,,,,,,,
