"CALF OF MAN, CHICKENS ROCK",,,,,,,,,,,,,,,,,,,,
Grid ref,SC 14295 63961,Long,-4.8374042,Lat,54.038096,Elevation,5,ft,,,,,,,,,,,,
Station no,RR2690,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,0.72,4.65,2.21,1.86,1.2,0.08,1.78,2.8,4.56,2.03,4.15,0.45,,
February,,,,,,,0.22,3.37,1.3,1.53,3.08,3.55,1.81,2.2,2,2.55,0.33,0.3,,
March,,,,,,,0.85,1.71,0.97,2.1,1.1,2.8,2.02,0.65,2.42,1.92,3.55,0.4,,
April,,,,,,,,2.75,0.95,1.95,1.7,0.5,2.3,0.7,0.44,2.42,1,0.62,,
May,,,,,,,,1.68,1.82,1.4,0.2,0.55,0.95,0.7,0.95,1.16,2.6,0.35,,
June,,,,,,,,1.27,1.62,3.06,0.65,1.22,1.68,1.6,0.1,1.55,0.1,0.6,,
July,,,,,,,0.2,2.76,0,4.55,1,2.93,2.09,0.4,1.7,0.9,1.4,0.95,,
August,,,,,,,1.12,2.44,3.24,7.4,0.75,4.9,3.65,1.45,0.2,2,0.5,0.2,,
September,,,,,,,1.55,1.33,2.6,0.6,2.05,0.25,3.33,6.15,0.7,2.71,2.2,0.55,,
October,,,,,,,4.23,2.55,2.03,1.41,2.8,2,2.25,3.1,0.65,2.3,1.2,,,
November,,,,,,,1.1,3.34,0.64,0.35,3.1,2.6,2.95,3.25,3,2.56,2.05,,,
December,,,,,,,5.27,2.95,0.73,0.05,1.41,3.05,3.14,1.35,2.43,0.7,3.3,,,
Total,,,,,,,,30.8,18.11,26.26,19.04,24.43,27.95,24.35,19.15,22.8,22.38,,,
