ELGIN (CEMETERY),,,,,,,,,,
Grid ref,NJ226617,Long,-3.298074,Lat,57.638562,Elevation,70,ft,,
Station no,5679/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.81,1.3,1.68,0.7,2.75,2.51,3.08,3.28,3.13
February,,1.16,1.28,0.86,1.77,2.03,1.13,3.04,0.37,1.9
March,,1.86,0.38,1.34,1.41,0.63,2.52,1.28,0.95,1.05
April,,0.7,2.01,0.73,0.94,1.82,0.66,1.29,1.78,1.66
May,,1.31,1.89,4.79,3.37,0.97,0.97,2.66,0.51,0.52
June,,1.81,2.58,2.43,1.4,2.48,2.15,1.85,1.44,2.29
July,,2.38,3.13,2.47,0.72,6.06,4.55,4.25,2.45,2.32
August,,2.91,1.99,2.09,2.07,3.65,5.1,3.76,1.24,6.95
September,,3.37,2.96,1.54,1.37,2.4,1.46,1.14,0.79,2.01
October,,1.49,0.48,4.82,4.66,2.82,1.22,1.59,3.11,3.97
November,,2.46,1.82,2.06,0.72,1.69,2.54,0.92,2.67,1.51
December,,1.71,2.71,3.77,4.85,2.59,3.09,1.75,1.6,0.77
Total,,22.97,22.53,28.58,23.98,29.89,27.9,26.61,20.19,28.08
,,,,,,,,,,
Station no,5679/3,,,,,,,,,
Midas,135,,,,,,,,,
Hyd Stn,812419,,,,,,,,,
