FORTY-HILL-5-INCH-GAUGE-5-FT-HIGH,,,,,,,,,,
Grid ref,TQ336982,Long,-0.069596562,Lat,51.666702,Elevation,120,ft.,,
Station no,RR6177,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,3.94,1.61,0.99,
February,,,,,,,0.55,0.6,1.21,
March,,,,,,,1.68,1.57,3.78,
April,,,,,,,1.38,1.11,2.31,
May,,,,,,,4.65,2.15,1.17,
June,,,,,,,0.41,0.63,2.82,
July,,,,,,0.48,2.47,0.84,4.71,
August,,,,,,1.7,0.8,2.21,3.71,
September,,,,,,3.9,1.26,2.82,1.03,
October,,,,,,3.69,2.68,1.23,1.25,
November,,,,,,3.24,3.06,3.56,4.76,
December,,,,,,1.16,4.04,1.34,0.98,
Total,,,,,,,26.92,19.67,28.72,
,,,,,,,,,,
NGR is in Forty Hill at stated altitude. NGR could be +/- 500m,,,,,,,,,,
Significant duplication of readings between the gauges,,,,,,,,,,
