FORTY-HILL-5-INCH-GAUGE-1-FT-HIGH,,,,,,,,,,
Grid ref,TQ336982,Long,-0.069596562,Lat,51.666702,Elevation,120,ft.,,
Station no,RR6177,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,3.96,1.6,1,
February,,,,,,,0.58,0.61,1.21,
March,,,,,,,1.71,1.56,3.8,
April,,,,,,,1.39,1.12,2.33,
May,,,,,,,4.86,2.15,1.18,
June,,,,,,,0.43,0.63,2.85,
July,,,,,,0.48,2.55,0.84,4.77,
August,,,,,,1.74,0.8,2.23,3.72,
September,,,,,,4.09,1.27,2.82,1.03,
October,,,,,,3.89,2.71,1.23,1.25,
November,,,,,,3.28,3.17,3.57,4.8,
December,,,,,,1.18,4.04,1.34,0.98,
Total,,,,,,,27.47,19.7,28.92,
,,,,,,,,,,
NGR is in Forty Hill at stated altitude. NGR could be +/- 500m,,,,,,,,,,
Significant duplication of readings between the gauges,,,,,,,,,,
