FORTY-HILL-8-INCH-GAUGE,,,,,,,,,,
Grid ref,TQ336982,Long,-0.069596562,Lat,51.666702,Elevation,120,ft.,,
Station no,RR6177,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,3.95,1.6,0.99,0.84
February,,,,,,,0.57,0.61,1.22,2.05
March,,,,,,,1.71,1.58,3.8,1.71
April,,,,,,,1.39,1.14,2.32,2.02
May,,,,,,,4.72,2.15,1.18,5.64
June,,,,,,,0.43,0.63,2.83,3.62
July,,,,,,0.48,2.5,0.84,4.78,2.32
August,,,,,,1.71,0.8,2.22,3.74,2.47
September,,,,,,4,1.27,2.83,1.03,
October,,,,,,3.79,2.72,1.23,1.25,
November,,,,,,3.25,3.15,3.58,4.75,
December,,,,,,1.18,4.04,1.34,0.99,
Total,,,,,,,27.25,19.75,28.88,
,,,,,,,,,,
,,,,,,,,,,
NGR is in Forty Hill at stated altitude. NGR could be +/- 500m,,,,,,,,,,
Significant duplication of readings between the gauges,,,,,,,,,,
