ENFIELD-CHASE-5-INCH-GAUGE-5-FT-HIGH,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ312978,Long,-0.10442898,Lat,51.663672,Elevation,230,ft.,,,,,,,,,,,,
Station no,RR6177,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,3.28,1.34,4.83,1.45,2.92,0.25,1.65,,2.62,2.84,1.76,,,,
February,,,,,,1.09,2.31,1.91,1.49,3.46,2.32,4.02,,3.89,1.29,2.98,,,,
March,,,,,,0.91,3.28,2.38,1.11,1.14,1.03,2.33,,1.21,1.7,1.79,,,,
April,,,,,,1.4,2.22,3.15,3.75,3.03,2.84,0.84,,2.03,1.13,2.5,,,,
May,,,,,,2.35,0.87,2.42,4.31,2.75,0.48,0.93,,1.93,0.69,3.27,,,,
June,,,,,,4.35,1.34,0.47,5.6,4.3,3.32,1.86,,2.25,3.04,1.84,,,,
July,,,,,,5.07,0.86,3.39,0.94,3.69,5.23,2.13,,3.09,2.64,,,,,
August,,,,,,3.79,2.25,3.93,6.22,4.79,0.81,4.68,,1.25,1.1,,,,,
September,,,,,3.33,2.38,4.61,0.91,0.97,3.18,3.81,1.93,,3.99,1.47,,,,,
October,,,,,3.18,4.37,1.28,1.96,1.87,0.6,5.5,3.05,,1.88,1.08,,,,,
November,,,,,1.94,3.93,3.42,3.77,3.62,0.73,2.32,2.95,,3.3,2.44,,,,,
December,,,,,2.08,1.63,5.78,2.06,1.21,0.73,3.66,3.75,,0.98,3.13,,,,,
Total,,,,,,34.55,29.56,31.18,32.54,31.32,31.57,30.12,,28.42,22.55,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is based on the relationship to St Andrews church. Altitude from OS map.,,,,,,,,,,,,,,,,,,,,
Gauge moved 300 yards E in 1880. ,,,,,,,,,,,,,,,,,,,,
"Gauge moved 1.5 miles NE to Forty Hill, but Forty Hill is East!",,,,,,,,,,,,,,,,,,,,
NGR could be +/- 500m,,,,,,,,,,,,,,,,,,,,
Significant duplication of readings between the gauges,,,,,,,,,,,,,,,,,,,,
