"MURROES, CRAIG MILLS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8833,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.45,2.59,,,,,,,,,,
February,2.10,0.50,,,,,,,,,,
March,1.90,1.96,,,,,,,,,,
April,1.99,1.30,,,,,,,,,,
May,3.83,1.55,,,,,,,,,,
June,1.09,0.39,,,,,,,,,,
July,2.98,2.27,,,,,,,,,,
August,3.75,3.88,,,,,,,,,,
September,3.72,1.00,,,,,,,,,,
October,2.20,2.52,,,,,,,,,,
November,2.80,2.10,,,,,,,,,,
December,3.25,1.47,,,,,,,,,,
Total,32.06,21.53,,,,,,,,,,
Calc annual,32.06,21.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
