"FORT AUGUSTUS (ST BENEDICT'S)",,,,,,,,,,,,
Grid ref,NH381091,Long,-4.677424,Lat,57.144163,,,,,,,
Station no,5702,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,5.82,3.20,4.56,2.98,4.00,8.29,3.81,3.04,3.22,,
February,,2.52,3.75,2.64,3.71,2.76,3.70,1.69,2.40,2.81,,
March,,2.57,1.96,2.46,1.21,2.40,3.66,1.24,2.36,0.82,,
April,,1.82,3.30,1.70,1.69,2.60,1.20,2.94,3.90,3.60,,
May,,1.87,4.20,4.34,3.11,3.82,1.13,4.20,1.43,1.12,,
June,,2.40,2.90,2.21,1.46,2.10,2.16,1.89,3.31,2.81,,
July,,2.58,3.29,2.32,0.19,4.10,4.14,2.61,3.44,2.31,,
August,,4.86,3.56,3.01,0.50,5.41,4.72,3.93,2.54,4.97,,
September,,4.01,4.29,4.41,5.07,5.14,2.97,3.77,0.97,3.05,,
October,,5.86,1.90,8.74,4.64,4.98,5.18,6.24,6.69,1.34,,
November,,2.93,7.69,4.96,0.78,3.93,1.91,1.21,6.04,3.54,,
December,,4.85,5.88,10.28,8.15,9.20,5.87,4.67,6.49,5.98,,
Total,,42.09,45.92,51.63,33.49,50.44,44.93,38.20,42.61,35.57,,
Calc annual,0.00,42.09,45.92,51.63,33.49,50.44,44.93,38.20,42.61,35.57,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
