"FORT AUGUSTUS ST BENEDICT'S",,,,,,,,,,,,
Grid ref,NH381092,Long,-4.677489,Lat,57.145061,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.45,4.55,5.65,10.18,5.81,5.32,10.44,4.23,5.28,6.18,,
February,1.72,1.44,0.88,10.50,3.04,5.65,4.71,5.66,5.22,1.84,,
March,0.78,3.15,4.23,9.94,2.31,4.55,4.33,5.11,5.05,0.77,,
April,3.72,2.36,1.70,1.67,7.00,1.58,2.54,2.19,1.42,1.90,,
May,1.79,1.72,3.10,2.79,3.73,2.62,2.66,2.56,2.36,3.15,,
June,2.10,2.72,1.33,2.85,2.54,0.92,0.57,4.01,2.91,0.75,,
July,4.51,2.52,1.81,4.02,1.43,2.75,3.44,2.02,2.01,3.91,,
August,4.16,3.33,2.66,5.86,3.96,3.52,3.80,4.36,4.27,2.40,,
September,3.59,1.78,2.31,3.23,3.76,3.40,2.36,1.38,5.59,1.69,,
October,4.59,3.98,3.58,7.25,2.22,3.23,6.89,2.14,0.91,7.80,,
November,4.28,2.49,1.45,4.66,1.72,5.25,4.54,3.16,4.35,3.66,,
December,11.81,6.92,6.93,3.03,6.78,4.82,5.30,5.14,4.56,3.39,,
Total,50.50,36.96,35.63,65.98,44.30,43.61,51.58,41.96,43.93,37.44,,
Calc annual,50.50,36.96,35.63,65.98,44.30,43.61,51.58,41.96,43.93,37.44,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
