LENTON-EXPERIMENTAL-STATION,,,,,,,,,,
Grid ref,SK537381,Long,-1.2024398,Lat,52.937619,Elevation,150,ft,,
Station no,2602/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.69,0.81,1.33,2.19,3.27,1.46,2.39,3.33,4.6
February,,0.49,1.52,2.16,1.75,0.59,2.18,3.24,0.15,1.86
March,,2.53,1.08,1.75,2.6,0.79,2.19,1.6,1.59,1.51
April,,1.58,1.83,0.32,1.05,1.51,0.2,0.79,3.15,1.09
May,,3.18,1.74,2.3,3.51,0.45,1.01,1.74,0.42,1.04
June,,1.27,3.13,3.49,3.72,3.21,1.32,4.34,0.8,1.93
July,,0.42,1.88,1.58,0.69,2.8,3.23,4.15,1.31,3.27
August,,2.37,2.29,4.01,0.66,5.06,4.53,3.14,0.85,3.97
September,,1.07,1.54,2.51,0.55,2.94,5.6,2.06,0.04,3.89
October,,2.66,2.23,3.01,1.58,1.28,1.16,2.14,2.09,4.64
November,,1.65,1.38,4.29,1.6,0.67,1.96,1.23,2.13,2.82
December,,2.32,0.8,2.23,1.73,2.09,1.85,3.16,3.08,3.47
Total,,21.23,20.23,28.98,21.63,24.66,26.69,29.98,18.94,34.09
