NORTHFIELD (FRANKLEY LODGE ROAD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP004802,Long,-1.9952685,Lat,52.420599,Elevation,548,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,5.52,1.75,5.35,2.31,2.46,2.26,3.4,1.19,3.89,3.59,3.36,6.28,3.28,3.67,4.13,5.78,2.77,2.09,2.33,,,,
February,,,,,,,,,2.45,0.8,0.76,3.04,0.37,3.82,0.42,2.97,2.93,4.57,0.8,1.55,2.97,3.18,1.08,2,1.45,2.67,2.18,,,,
March,,,,,,,,,2.93,0.23,2.77,0.3,1.94,3.32,2.69,0.6,2.22,2.69,0.47,1.72,2,2.67,2.23,1,0.43,1.03,0.95,,,,
April,,,,,,,,,1.76,0.79,3.22,4.25,3.76,1.08,2.38,3.98,1.92,3.18,0.15,1.92,4.19,1.68,1.54,0.91,2.1,0.97,2.77,,,,
May,,,,,,,,,0.89,2.18,2.15,5.09,5.96,1.75,1.11,1.22,1.34,2.68,2.03,1.23,3.24,2.89,4.27,4.34,0.72,3.23,2.6,,,,
June,,,,,,,,,3.2,1.96,1.6,5.43,1.46,2.9,1.17,2.72,4.31,0.72,2.1,2.06,0.76,1.17,0.17,1.99,1.84,3.22,2.66,,,,
July,,,,,,,,,1.24,1.81,5.07,4.17,3.6,2.6,1.92,0.59,6.44,2.7,3.68,5.48,2.88,3.74,2.22,1.21,3.02,3.3,1.72,,,,
August,,,,,,,,,1.96,2.47,3.92,5.5,1.78,1.01,2.29,1.71,0.6,1.15,3.39,2.27,0.21,5.13,2.93,1.67,2.58,1.83,5.84,,,,
September,,,,,,,,,0.59,1.08,4.77,2.66,3.42,0.79,2.89,4.26,3.23,2.58,1.92,0.99,1.35,0.78,1.54,1.93,3.74,1.83,3.72,,,,
October,,,,,,,,,5.45,4.8,3.02,0.94,4.02,4.91,2.16,4.14,1.68,2.99,3,3.69,4.86,3.15,3.44,2.25,3.84,4.15,0.59,,,,
November,,,,,,,,,3.95,9.01,3.52,4.55,1.87,1.16,2.36,6.39,3.23,1.77,3.81,4.74,7.18,3.62,1.53,1.85,4.96,0.49,6.13,,,,
December,,,,,,,,,2.25,6.3,3.67,1.11,1.17,0.57,5.74,4.09,2.97,2.84,4.79,2.22,2,1.92,3.96,1.62,2.04,3.94,2.86,,,,
Total,,,,,,,,,32.19,33.18,39.82,39.35,31.81,26.17,28.53,33.86,34.76,31.46,29.5,34.15,34.92,33.6,29.04,26.55,29.49,28.75,34.35,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3020,FRANKLEY W WKS ,01/01/1938,01/09/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
