DUNSTABLE-WW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL0248621173,Long,-0.51253239,Lat,51.879714,Elevation,520,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1159/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.84,5.81,2.31,2.49,2.44,4.17,1.47,2.19,1.39,1.43,4.77,1.18,0.94,2.83,1.73,1.18,0.91,2.05,4.45,1.24,2.69,3.42,2.7
February,,,,,,,,0.69,0.83,1.84,1.82,0.77,1.11,1.08,1.36,2.26,1.94,0.85,1,3.91,4.54,0.67,1.91,2.12,2.15,0.61,3.36,3.41,0.09,2.72
March,,,,,,,,0.37,1.89,2.79,3.31,1.61,0.65,0.16,0.57,1.58,5.13,0.93,1.41,0.67,3.37,3.28,0.63,2.13,0.98,1.02,1.23,2.1,2.26,1.59
April,,,,,,,,0.14,3.04,1.56,1.57,1.08,0.84,2.32,1.22,0.99,1.89,1.69,1.57,2.07,2.92,1.95,1.97,0.32,0.47,1.08,0.22,1,2.37,0.7
May,,,,,,,,1.69,1.47,2.55,2.2,2.62,2.2,1,1.91,2.54,1.16,2.91,1.68,2.58,2.87,2.09,1.62,2.98,4.53,0.48,1.21,2.29,0.71,1.94
June,,,,,,,,0.65,2.56,1.09,1.26,0.15,2.39,1.78,1.98,3.04,2.04,3.05,0.54,1.77,0.96,0.98,1.86,3.57,1.77,2.95,1.47,4.53,1.21,2.61
July,,,,,,,,1.41,2.57,2.84,3.53,2.57,1.16,1.54,2.5,1.75,1.76,1.08,1.34,5.53,1.54,0.49,2.82,3.55,0.31,3.76,2.38,2.7,3.12,4.57
August,,,,,,,,1.97,4.09,0,4.13,2.18,1.49,1.86,1.78,3.64,0.05,2.49,2.15,2.93,3.64,3.02,1.89,3.46,0.55,5.2,2.67,2.96,1.24,3.67
September,,,,,,,,1.75,1.15,0.54,0.84,0.92,1.26,2.42,2.11,3.95,1.61,2.27,0.5,2.8,2.7,3.7,1.55,1.3,1.76,2.18,2.86,3.41,0.14,4.25
October,,,,,,,,2.93,3.78,3.52,1.51,3.16,2.52,3.42,3.28,1.43,0.26,2.91,5.09,0.42,1.09,3.31,2,1.67,2.48,1.59,2.88,2.58,2.13,5.09
November,,,,,,,,2.84,3.9,7.68,2.41,1.72,1.25,2.37,0.83,5.62,1.17,1.81,3.14,4.94,4.64,4.29,1.32,4.48,1.33,1.08,2.02,2.35,2.56,4.31
December,,,,,,,,3.11,1.72,1.35,1.14,2.51,1.03,1.39,3.12,2.12,2.96,2.18,1.66,1.7,1.7,2.21,0.64,1.86,2.31,3.78,2.66,2.94,4.3,3.94
Total,,,,,,,,20.39,32.81,28.07,26.21,21.73,20.07,20.81,22.85,30.31,21.4,26.94,21.26,30.26,32.8,27.72,19.39,28.35,20.69,28.18,24.2,32.96,23.55,38.09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 dash=zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
