"DUNSTABLE (WATERWORKS)",,,,,,,,,,,,
Grid ref,TL022213,Long,-0.516648,Lat,51.880908,,,,,,,
Station no,1159/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.83,1.73,1.18,0.91,2.05,4.45,1.24,2.69,3.42,2.70,,
February,4.54,0.67,1.91,2.12,2.15,0.61,3.36,3.41,0.09,2.72,,
March,3.37,3.28,0.63,2.13,0.98,1.02,1.23,2.10,2.26,1.59,,
April,2.92,1.95,1.97,0.32,0.47,1.08,0.22,1.00,2.37,0.70,,
May,2.87,2.09,1.62,2.98,4.53,0.48,1.21,2.29,0.71,1.94,,
June,0.96,0.98,1.86,3.57,1.77,2.95,1.47,4.53,1.21,2.61,,
July,1.54,0.49,2.82,3.55,0.31,3.76,2.38,2.70,3.12,4.57,,
August,3.64,3.02,1.89,3.46,0.55,5.20,2.67,2.96,1.24,3.67,,
September,2.70,3.70,1.55,1.30,1.76,2.18,2.86,3.41,0.14,4.25,,
October,1.09,3.31,2.00,1.67,2.48,1.59,2.88,2.58,2.13,5.09,,
November,4.64,4.29,1.32,4.48,1.33,1.08,2.02,2.35,2.56,4.31,,
December,1.70,2.21,0.64,1.86,2.31,3.78,2.66,2.94,4.30,3.94,,
Total,32.80,27.72,19.39,28.35,20.69,28.18,24.20,32.96,23.55,38.09,,
Calc annual,32.80,27.72,19.39,28.35,20.69,28.18,24.20,32.96,23.55,38.09,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
