ASHTON WATERHOUSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD920010,Long,-2.122,Lat,53.506,Elevation,345,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,1.9,3.9,1.2,,,3,3.6,5.4,3.6,3.6,0.2,2.9,1.4,1.7,1.8,3.59,0.17,2.78,4.89,1.25,2.79,3.95,3.61,2.82,2.57,3.25,1.22,4.12,3.23,4.99,4.27,2,5.16,5.02,1.74,2.14,0.88,3.78,4.61,5.86,1.98,5.33,2.2,2.16,1.75,3.83,3,3.43,1.17,2.99,2.7,1.53,1.57,2.49,5.24,4.89,2.13,2.81,2.65,2.65,2,4.34,1.4,2.76,1.78,4.09,1.07,2.95,3.22,2.79,5.21,2.77,2.71,2.55,4.23,4.13,5.26,2.58,,,,,,,,
February,,,,,,2,1.4,2,,,2.8,2.3,4,0.6,1.5,0.2,3.2,0.6,0.1,2.05,1.31,2.74,0.65,0.71,3.47,2.67,3.43,3.28,2.56,4.36,0.95,3.31,3.83,0.42,1.99,0.98,4.19,4.33,1.23,3.34,3.09,5.64,2.81,1.87,2.3,2.79,0.56,0.7,1.17,2.62,0.36,0.28,2.64,4.43,4.92,0.44,1.87,2.37,3.18,1.23,2.85,1.75,1.15,2.73,3.37,1.8,3.11,1.59,2.72,1.6,3.14,3.69,1.18,1.26,1.87,2.85,4.61,0.82,5.06,1.13,2.72,0.26,3.87,,,,,,,,
March,,,,,,3.2,1.8,1.2,,,0.8,3.5,0.2,1.2,1.7,2.3,0,1.5,1.5,3.94,5.26,6.06,3.21,0.72,1.96,1.18,1.54,1.54,5.3,1.24,2.02,1.26,3.22,2.96,4.1,0.48,4.34,2.43,2.62,2.06,2.59,4.61,3.18,0.82,2.1,2.11,2.42,1.84,2.41,3.05,3.56,1.69,0.97,0.48,3.05,3.17,4.65,3.59,2.5,1.95,0.61,2.76,1.85,3.39,1.89,3.2,2.97,2.86,2.51,3,0.55,1.84,4.41,3.51,4.69,1.52,2.05,1.89,1.55,6.19,3.59,2.89,1.9,,,,,,,,
April,,,,,,2.4,3.5,2.8,,,3.3,,,1.1,0.2,1.1,1.8,1.8,1.4,2.19,1.47,1.18,2.45,1.3,1.02,1.08,0.48,5.32,1.7,1.91,1.8,4.39,2.91,0.66,1.29,1.26,2.59,1.82,2.05,1.46,2.02,1.36,3.98,1.91,1.2,1.26,2.11,1.26,2,1.77,0.94,1.68,1.3,0.62,1.99,1.45,1.63,2.73,2,2.98,3.07,2.54,1.98,1.68,2.11,2.5,1.9,1.53,2.07,3.25,2.11,2.45,0.89,3.96,1.39,1.43,2.27,1.72,1.11,2.14,3.85,1.11,2.24,,,,,,,,
May,,,,,,1.5,0.8,5.3,,,1.4,1.7,,1.7,1.9,1.6,3,1.9,1.8,0.63,3.53,1.15,5.28,1.76,4.08,2.91,1.74,2.36,1.14,2.99,1.13,2.13,2.62,2.44,1.9,1.8,1.29,3.75,3.41,1.56,2.55,4,1.73,1.21,1.91,1.82,5.45,1.89,0.92,2.1,2.92,3.24,4.22,2.99,2.57,1.24,0.52,2.14,3.25,2.75,1.21,1.6,2.9,2.99,2.48,0.62,3.04,3.78,2.39,1.9,2.57,1.76,2.61,2.44,2.08,1.64,2.43,2.1,1.96,1.89,4.95,1.89,1.34,,,,,,,,
June,,,,,,3.9,2.8,3.1,,,1.5,5,,5.6,2.1,3,2.4,1.1,2.8,1.43,5.79,2.08,3.28,4.15,2.54,0.72,4.73,1.76,0.47,1.25,1.47,4.72,6.54,3.29,1.29,3.78,3.28,1.87,3.28,4.93,2.52,2.16,7.8,5.02,0.68,3.66,1.85,0.77,3.34,0.93,3.6,2.29,3.34,2.21,3.14,3.17,2.64,3.57,3.16,1.85,3.66,1.83,1.58,1.41,0.77,3.07,1.14,5.81,2.06,2.69,3.39,2.93,4.47,2.18,2.67,2.7,3.04,2.51,2.03,1.8,2.89,0.37,2.29,,,,,,,,
July,,,,,,3.8,4.2,0.8,,,3.9,3.4,3.3,3.2,3.7,3.6,3,4.5,0.7,3.14,2.21,4.52,4.55,1.44,1.9,2.71,3.44,5.41,0.29,1.02,2,4.32,7.27,4.91,1.69,4.42,3.08,5.44,0.54,5.24,7.86,2.62,6.46,2.5,4.21,1.56,4.62,1.08,6.74,3.48,3.3,3.97,2.93,3.8,2.77,6.53,2.58,1.9,0.66,1.49,3,4.04,2.27,3.99,0.99,2.11,1.82,2.97,4.98,4.78,4.11,0.68,4.28,1.07,3.4,4.89,1.61,1.46,4.91,2.07,7.89,1.22,4.03,,,,,,,,
August,,,,,,6.4,3.8,3.3,,,5,3.6,2.4,3.2,1.6,3.6,5.5,5.3,0.6,5.42,5.66,3.16,3.01,4.67,2.45,4.14,4.47,1.86,2.74,2.79,2.24,1.71,3.21,4.88,4.39,2.87,3.6,4.73,5.78,6.94,2.71,5.05,3.61,3.96,2.68,1.49,2.69,1.43,5.47,6.06,4.77,8.14,4.96,2.69,4.53,4.19,3.17,4.24,5.88,2.11,6.27,1.8,3.29,4.26,4.2,4.07,3.07,3.98,3.24,3.29,5.43,2.97,5.75,2.49,3.13,5.33,1.86,7.06,3.45,3.17,2.51,4.77,3.36,,,,,,,,
September,,,,,,2.7,0.7,5.5,,,1.9,1.2,2.2,2.4,2.2,0.8,2.6,3.3,1.85,5.95,2.7,4.38,4.77,5.91,4.3,0.7,7.3,2.41,1.54,6.66,2.26,4.93,6.57,3.59,4.6,5.04,3.37,3.25,6.07,3.02,5.86,2.48,2.35,6.29,2.82,4.94,4.06,4.75,1.84,3.22,1.31,3.71,3.65,3.94,0.7,1.44,5.49,4.84,0.5,6.5,1.86,0.77,1.33,4.7,1.53,2.55,1.47,1.1,3.82,2.32,0.23,3.45,1.49,1.7,2.35,0.9,2.31,2.17,9.68,1.86,2.73,0.73,3.25,,,,,,,,
October,,,,,,4,4.9,4.7,,,3.8,3.3,1.7,3.2,2.7,5.6,2.7,1.1,3.82,2.81,5.14,0.88,5.29,5.72,1.98,4.98,2.33,4.2,5,2.43,11.33,4.75,4.58,6.04,4.24,4.34,2.41,4.25,3.85,3.05,3.05,3.48,4,6.2,2.24,5.8,5.27,2.09,2.39,3.27,2.77,5.21,5.17,2.93,4.2,3.94,5.1,1.92,3.72,3.84,5.05,3.54,4.49,7.41,1.44,3.09,5.58,4.16,1.26,4.97,3.12,2.78,3.43,1.54,2.07,1.47,4.49,5.84,2.93,2.17,1.37,1.89,0.64,,,,,,,,
