"WATERHOUSE LOCK",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR141,,,,,,,,,,,
,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,,
January,,,,,,1.90,3.90,1.20,,,,
February,,,,,,2.00,1.40,2.00,,,,
March,,,,,,3.20,1.80,1.20,,,,
April,,,,,,2.40,3.50,2.80,,,,
May,,,,,,1.50,0.80,5.30,,,,
June,,,,,,3.90,2.80,3.10,,,,
July,,,,,,3.80,4.20,0.80,,,,
August,,,,,,6.40,3.80,3.30,,,,
September,,,,,,2.70,0.70,5.50,,,,
October,,,,,,4.00,4.90,4.70,,,,
November,,,,,,3.00,2.40,3.80,,,,
December,,,,,,8.00,1.60,4.60,,,,
Total,,,,,,42.80,31.80,38.30,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,42.80,31.80,38.30,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,NaN,NaN,,
